condition_id,factor,x_variable,x_value,current_A,speed_cm_min,frequency_Hz,amplitude_mm,cooling_s,layers,source_basis
Weaving amplitude_3.75,Weaving amplitude,Weaving amplitude (mm),3.75,80.0,26.0,3.0,3.75,60.0,10,60 s from the v12 layerwise figure protocol
Weaving amplitude_3.875,Weaving amplitude,Weaving amplitude (mm),3.875,80.0,26.0,3.0,3.875,60.0,10,60 s from the v12 layerwise figure protocol
Weaving amplitude_4.0,Weaving amplitude,Weaving amplitude (mm),4.0,80.0,26.0,3.0,4.0,60.0,10,60 s from the v12 layerwise figure protocol
Weaving frequency_2.0,Weaving frequency,Weaving frequency (Hz),2.0,80.0,26.0,2.0,3.0,60.0,10,60 s from the v12 layerwise figure protocol
Weaving frequency_2.0833,Weaving frequency,Weaving frequency (Hz),2.0833,80.0,26.0,2.0833,3.0,60.0,10,60 s from the v12 layerwise figure protocol
Weaving frequency_2.1667,Weaving frequency,Weaving frequency (Hz),2.1667,80.0,26.0,2.1667,3.0,60.0,10,60 s from the v12 layerwise figure protocol
Weaving frequency_2.25,Weaving frequency,Weaving frequency (Hz),2.25,80.0,26.0,2.25,3.0,60.0,10,60 s from the v12 layerwise figure protocol
Weaving frequency_2.3333,Weaving frequency,Weaving frequency (Hz),2.3333,80.0,26.0,2.3333,3.0,60.0,10,60 s from the v12 layerwise figure protocol
Weaving frequency_2.4167,Weaving frequency,Weaving frequency (Hz),2.4167,80.0,26.0,2.4167,3.0,60.0,10,60 s from the v12 layerwise figure protocol
Weaving frequency_2.5,Weaving frequency,Weaving frequency (Hz),2.5,80.0,26.0,2.5,3.0,60.0,10,60 s from the v12 layerwise figure protocol
Weaving frequency_2.5833,Weaving frequency,Weaving frequency (Hz),2.5833,80.0,26.0,2.5833,3.0,60.0,10,60 s from the v12 layerwise figure protocol
Weaving frequency_2.6667,Weaving frequency,Weaving frequency (Hz),2.6667,80.0,26.0,2.6667,3.0,60.0,10,60 s from the v12 layerwise figure protocol
Weaving frequency_2.75,Weaving frequency,Weaving frequency (Hz),2.75,80.0,26.0,2.75,3.0,60.0,10,60 s from the v12 layerwise figure protocol
Weaving frequency_2.8333,Weaving frequency,Weaving frequency (Hz),2.8333,80.0,26.0,2.8333,3.0,60.0,10,60 s from the v12 layerwise figure protocol
Weaving frequency_2.9167,Weaving frequency,Weaving frequency (Hz),2.9167,80.0,26.0,2.9167,3.0,60.0,10,60 s from the v12 layerwise figure protocol
Weaving frequency_3.0,Weaving frequency,Weaving frequency (Hz),3.0,80.0,26.0,3.0,3.0,60.0,10,60 s from the v12 layerwise figure protocol
Weaving frequency_3.0833,Weaving frequency,Weaving frequency (Hz),3.0833,80.0,26.0,3.0833,3.0,60.0,10,60 s from the v12 layerwise figure protocol
Weaving frequency_3.1667,Weaving frequency,Weaving frequency (Hz),3.1667,80.0,26.0,3.1667,3.0,60.0,10,60 s from the v12 layerwise figure protocol
Weaving frequency_3.25,Weaving frequency,Weaving frequency (Hz),3.25,80.0,26.0,3.25,3.0,60.0,10,60 s from the v12 layerwise figure protocol
Weaving frequency_3.3333,Weaving frequency,Weaving frequency (Hz),3.3333,80.0,26.0,3.3333,3.0,60.0,10,60 s from the v12 layerwise figure protocol
Weaving frequency_3.4167,Weaving frequency,Weaving frequency (Hz),3.4167,80.0,26.0,3.4167,3.0,60.0,10,60 s from the v12 layerwise figure protocol
Weaving frequency_3.5,Weaving frequency,Weaving frequency (Hz),3.5,80.0,26.0,3.5,3.0,60.0,10,60 s from the v12 layerwise figure protocol
Weaving frequency_3.5833,Weaving frequency,Weaving frequency (Hz),3.5833,80.0,26.0,3.5833,3.0,60.0,10,60 s from the v12 layerwise figure protocol
Weaving frequency_3.6667,Weaving frequency,Weaving frequency (Hz),3.6667,80.0,26.0,3.6667,3.0,60.0,10,60 s from the v12 layerwise figure protocol
Weaving frequency_3.75,Weaving frequency,Weaving frequency (Hz),3.75,80.0,26.0,3.75,3.0,60.0,10,60 s from the v12 layerwise figure protocol
Weaving frequency_3.8333,Weaving frequency,Weaving frequency (Hz),3.8333,80.0,26.0,3.8333,3.0,60.0,10,60 s from the v12 layerwise figure protocol
Weaving frequency_3.9167,Weaving frequency,Weaving frequency (Hz),3.9167,80.0,26.0,3.9167,3.0,60.0,10,60 s from the v12 layerwise figure protocol
Weaving frequency_4.0,Weaving frequency,Weaving frequency (Hz),4.0,80.0,26.0,4.0,3.0,60.0,10,60 s from the v12 layerwise figure protocol
Welding current_60.0,Welding current,Welding current (A),60.0,60.0,26.0,3.0,3.0,60.0,10,60 s from the v12 layerwise figure protocol
Welding current_61.6667,Welding current,Welding current (A),61.6667,61.6667,26.0,3.0,3.0,60.0,10,60 s from the v12 layerwise figure protocol
Welding current_63.3333,Welding current,Welding current (A),63.3333,63.3333,26.0,3.0,3.0,60.0,10,60 s from the v12 layerwise figure protocol
Welding current_65.0,Welding current,Welding current (A),65.0,65.0,26.0,3.0,3.0,60.0,10,60 s from the v12 layerwise figure protocol
Welding current_66.6667,Welding current,Welding current (A),66.6667,66.6667,26.0,3.0,3.0,60.0,10,60 s from the v12 layerwise figure protocol
Welding current_68.3333,Welding current,Welding current (A),68.3333,68.3333,26.0,3.0,3.0,60.0,10,60 s from the v12 layerwise figure protocol
Welding current_70.0,Welding current,Welding current (A),70.0,70.0,26.0,3.0,3.0,60.0,10,60 s from the v12 layerwise figure protocol
Welding current_71.6667,Welding current,Welding current (A),71.6667,71.6667,26.0,3.0,3.0,60.0,10,60 s from the v12 layerwise figure protocol
Welding current_73.3333,Welding current,Welding current (A),73.3333,73.3333,26.0,3.0,3.0,60.0,10,60 s from the v12 layerwise figure protocol
Welding current_75.0,Welding current,Welding current (A),75.0,75.0,26.0,3.0,3.0,60.0,10,60 s from the v12 layerwise figure protocol
Welding current_76.6667,Welding current,Welding current (A),76.6667,76.6667,26.0,3.0,3.0,60.0,10,60 s from the v12 layerwise figure protocol
Welding current_78.3333,Welding current,Welding current (A),78.3333,78.3333,26.0,3.0,3.0,60.0,10,60 s from the v12 layerwise figure protocol
Welding current_80.0,Welding current,Welding current (A),80.0,80.0,26.0,3.0,3.0,60.0,10,60 s from the v12 layerwise figure protocol
Welding current_81.6667,Welding current,Welding current (A),81.6667,81.6667,26.0,3.0,3.0,60.0,10,60 s from the v12 layerwise figure protocol
Welding current_83.3333,Welding current,Welding current (A),83.3333,83.3333,26.0,3.0,3.0,60.0,10,60 s from the v12 layerwise figure protocol
Welding current_85.0,Welding current,Welding current (A),85.0,85.0,26.0,3.0,3.0,60.0,10,60 s from the v12 layerwise figure protocol
Welding current_86.6667,Welding current,Welding current (A),86.6667,86.6667,26.0,3.0,3.0,60.0,10,60 s from the v12 layerwise figure protocol
Welding current_88.3333,Welding current,Welding current (A),88.3333,88.3333,26.0,3.0,3.0,60.0,10,60 s from the v12 layerwise figure protocol
Welding current_90.0,Welding current,Welding current (A),90.0,90.0,26.0,3.0,3.0,60.0,10,60 s from the v12 layerwise figure protocol
Welding current_91.6667,Welding current,Welding current (A),91.6667,91.6667,26.0,3.0,3.0,60.0,10,60 s from the v12 layerwise figure protocol
Welding current_93.3333,Welding current,Welding current (A),93.3333,93.3333,26.0,3.0,3.0,60.0,10,60 s from the v12 layerwise figure protocol
Welding current_95.0,Welding current,Welding current (A),95.0,95.0,26.0,3.0,3.0,60.0,10,60 s from the v12 layerwise figure protocol
Welding current_96.6667,Welding current,Welding current (A),96.6667,96.6667,26.0,3.0,3.0,60.0,10,60 s from the v12 layerwise figure protocol
Welding current_98.3333,Welding current,Welding current (A),98.3333,98.3333,26.0,3.0,3.0,60.0,10,60 s from the v12 layerwise figure protocol
Welding current_100.0,Welding current,Welding current (A),100.0,100.0,26.0,3.0,3.0,60.0,10,60 s from the v12 layerwise figure protocol
Welding speed_22.0,Welding speed,Welding speed (cm/min),22.0,80.0,22.0,3.0,3.0,60.0,10,60 s from the v12 layerwise figure protocol
Welding speed_22.3333,Welding speed,Welding speed (cm/min),22.3333,80.0,22.3333,3.0,3.0,60.0,10,60 s from the v12 layerwise figure protocol
Welding speed_22.6667,Welding speed,Welding speed (cm/min),22.6667,80.0,22.6667,3.0,3.0,60.0,10,60 s from the v12 layerwise figure protocol
Welding speed_23.0,Welding speed,Welding speed (cm/min),23.0,80.0,23.0,3.0,3.0,60.0,10,60 s from the v12 layerwise figure protocol
Welding speed_23.3333,Welding speed,Welding speed (cm/min),23.3333,80.0,23.3333,3.0,3.0,60.0,10,60 s from the v12 layerwise figure protocol
Welding speed_23.6667,Welding speed,Welding speed (cm/min),23.6667,80.0,23.6667,3.0,3.0,60.0,10,60 s from the v12 layerwise figure protocol
Welding speed_24.0,Welding speed,Welding speed (cm/min),24.0,80.0,24.0,3.0,3.0,60.0,10,60 s from the v12 layerwise figure protocol
Welding speed_24.3333,Welding speed,Welding speed (cm/min),24.3333,80.0,24.3333,3.0,3.0,60.0,10,60 s from the v12 layerwise figure protocol
Welding speed_24.6667,Welding speed,Welding speed (cm/min),24.6667,80.0,24.6667,3.0,3.0,60.0,10,60 s from the v12 layerwise figure protocol
Welding speed_25.0,Welding speed,Welding speed (cm/min),25.0,80.0,25.0,3.0,3.0,60.0,10,60 s from the v12 layerwise figure protocol
Welding speed_25.3333,Welding speed,Welding speed (cm/min),25.3333,80.0,25.3333,3.0,3.0,60.0,10,60 s from the v12 layerwise figure protocol
Welding speed_25.6667,Welding speed,Welding speed (cm/min),25.6667,80.0,25.6667,3.0,3.0,60.0,10,60 s from the v12 layerwise figure protocol
Welding speed_26.0,Welding speed,Welding speed (cm/min),26.0,80.0,26.0,3.0,3.0,60.0,10,60 s from the v12 layerwise figure protocol
Welding speed_26.3333,Welding speed,Welding speed (cm/min),26.3333,80.0,26.3333,3.0,3.0,60.0,10,60 s from the v12 layerwise figure protocol
Welding speed_26.6667,Welding speed,Welding speed (cm/min),26.6667,80.0,26.6667,3.0,3.0,60.0,10,60 s from the v12 layerwise figure protocol
Welding speed_27.0,Welding speed,Welding speed (cm/min),27.0,80.0,27.0,3.0,3.0,60.0,10,60 s from the v12 layerwise figure protocol
Welding speed_27.3333,Welding speed,Welding speed (cm/min),27.3333,80.0,27.3333,3.0,3.0,60.0,10,60 s from the v12 layerwise figure protocol
Welding speed_27.6667,Welding speed,Welding speed (cm/min),27.6667,80.0,27.6667,3.0,3.0,60.0,10,60 s from the v12 layerwise figure protocol
Welding speed_28.0,Welding speed,Welding speed (cm/min),28.0,80.0,28.0,3.0,3.0,60.0,10,60 s from the v12 layerwise figure protocol
Welding speed_28.3333,Welding speed,Welding speed (cm/min),28.3333,80.0,28.3333,3.0,3.0,60.0,10,60 s from the v12 layerwise figure protocol
Welding speed_28.6667,Welding speed,Welding speed (cm/min),28.6667,80.0,28.6667,3.0,3.0,60.0,10,60 s from the v12 layerwise figure protocol
Welding speed_29.0,Welding speed,Welding speed (cm/min),29.0,80.0,29.0,3.0,3.0,60.0,10,60 s from the v12 layerwise figure protocol
Welding speed_29.3333,Welding speed,Welding speed (cm/min),29.3333,80.0,29.3333,3.0,3.0,60.0,10,60 s from the v12 layerwise figure protocol
Welding speed_29.6667,Welding speed,Welding speed (cm/min),29.6667,80.0,29.6667,3.0,3.0,60.0,10,60 s from the v12 layerwise figure protocol
Welding speed_30.0,Welding speed,Welding speed (cm/min),30.0,80.0,30.0,3.0,3.0,60.0,10,60 s from the v12 layerwise figure protocol
