sample_id,group_id,current_A,speed_cm_min,frequency_Hz,amplitude_mm,cooling_s,width_mm,height_mm,source_file,source_row
multi_mean_36,60.316_26.255_3.836_1.879,60.3165,26.2545,3.8359,1.8788,0.0,9.5002,1.5982,multi_mean.csv,37
multi_mean_37,92.829_28.205_2.876_2.058,92.8292,28.2054,2.8755,2.058,0.0,11.4711,1.7483,multi_mean.csv,38
multi_mean_38,75.119_26.437_2.323_3.261,75.1192,26.4372,2.3234,3.2608,0.0,13.0358,1.6337,multi_mean.csv,39
multi_mean_39,65.931_23.082_2.413_2.192,65.9313,23.0818,2.4133,2.1924,0.0,11.0594,1.7715,multi_mean.csv,40
multi_mean_40,91.368_24.172_2.033_2.455,91.3682,24.1723,2.0327,2.4546,0.0,13.1603,1.8961,multi_mean.csv,41
multi_mean_41,84.357_27.050_3.550_3.413,84.3566,27.0499,3.5504,3.413,0.0,13.9022,1.558,multi_mean.csv,42
multi_mean_42,78.908_26.793_3.281_1.538,78.9078,26.7931,3.2814,1.5382,0.0,8.7329,1.8037,multi_mean.csv,43
multi_mean_43,67.904_27.846_2.712_1.460,67.9036,27.8455,2.7117,1.4599,0.0,7.7196,1.777,multi_mean.csv,44
multi_mean_44,61.146_25.847_2.603_2.135,61.1459,25.8467,2.6025,2.1355,0.0,10.4614,1.6623,multi_mean.csv,45
multi_mean_45,89.717_29.493_2.728_2.422,89.7173,29.4931,2.7275,2.4222,0.0,12.6373,1.6381,multi_mean.csv,46
multi_mean_46,85.026_24.925_2.046_3.761,85.0257,24.925,2.046,3.7612,0.0,14.0708,1.754,multi_mean.csv,47
multi_mean_47,89.380_23.980_2.530_2.855,89.3796,23.9795,2.5304,2.8552,0.0,13.8089,1.8131,multi_mean.csv,48
multi_mean_48,69.870_29.309_2.393_2.767,69.8696,29.3086,2.3935,2.767,0.0,12.0566,1.5281,multi_mean.csv,49
multi_mean_49,68.430_25.108_2.454_1.090,68.4305,25.1077,2.4543,1.0901,0.0,6.4878,2.0474,multi_mean.csv,50
multi_mean_50,93.676_23.732_3.628_2.719,93.6759,23.7315,3.6284,2.7187,0.0,14.1758,1.7728,multi_mean.csv,51
multi_mean_51,95.857_29.738_2.181_3.318,95.8569,29.7376,2.1813,3.3178,20.0,13.7703,1.6746,multi_mean.csv,52
multi_mean_52,74.116_26.034_3.484_3.029,74.1161,26.0335,3.4838,3.0294,20.0,12.9582,1.5787,multi_mean.csv,53
multi_mean_53,73.078_23.392_2.081_1.245,73.0778,23.3923,2.0813,1.2448,20.0,7.1863,2.1086,multi_mean.csv,54
multi_mean_54,65.091_24.760_2.259_1.790,65.0913,24.7596,2.2594,1.7905,20.0,9.0374,1.8303,multi_mean.csv,55
multi_mean_55,79.641_22.586_3.429_2.366,79.6413,22.5858,3.4289,2.3663,20.0,12.5569,1.7891,multi_mean.csv,56
multi_mean_56,69.179_23.851_2.773_2.679,69.1793,23.8511,2.7735,2.6792,20.0,12.5394,1.7047,multi_mean.csv,57
multi_mean_57,66.842_28.662_3.032_2.884,66.8418,28.6616,3.0322,2.8843,20.0,12.1448,1.4979,multi_mean.csv,58
multi_mean_58,62.052_27.232_3.912_1.548,62.0517,27.232,3.9116,1.5475,20.0,7.9615,1.6791,multi_mean.csv,59
multi_mean_59,98.562_28.463_3.786_2.263,98.562,28.4629,3.7862,2.2631,20.0,12.6732,1.7023,multi_mean.csv,60
multi_mean_60,81.949_22.091_2.284_3.621,81.9493,22.0908,2.284,3.6208,20.0,14.0614,1.8274,multi_mean.csv,61
multi_mean_61,64.243_22.430_2.510_2.938,64.2432,22.4298,2.5095,2.938,20.0,12.6408,1.7211,multi_mean.csv,62
multi_mean_62,99.818_25.441_3.977_3.149,99.8177,25.4411,3.9768,3.1486,20.0,14.7562,1.7258,multi_mean.csv,63
multi_mean_63,77.815_24.632_3.335_1.698,77.815,24.6322,3.3351,1.6976,20.0,9.4548,1.8472,multi_mean.csv,64
multi_mean_64,76.464_29.601_3.061_2.519,76.4638,29.6008,3.0612,2.5195,20.0,12.1621,1.5432,multi_mean.csv,65
multi_mean_65,62.738_24.333_3.280_3.532,62.7383,24.3334,3.2799,3.5323,20.0,13.0826,1.564,multi_mean.csv,66
multi_mean_66,82.784_29.948_3.860_1.174,82.7845,29.9478,3.86,1.1744,20.0,7.0164,1.8408,multi_mean.csv,67
multi_mean_67,80.876_28.722_2.238_2.239,80.8762,28.7216,2.2377,2.2386,20.0,11.151,1.7027,multi_mean.csv,68
multi_mean_68,70.616_26.590_3.137_3.855,70.6159,26.5897,3.1373,3.855,20.0,13.4462,1.5328,multi_mean.csv,69
multi_mean_69,88.181_28.887_3.564_3.723,88.1806,28.8866,3.5645,3.7228,20.0,14.1182,1.5234,multi_mean.csv,70
multi_mean_70,80.672_22.169_3.119_1.642,80.6718,22.1685,3.1191,1.6422,20.0,9.5958,1.9746,multi_mean.csv,71
multi_mean_71,75.775_25.573_2.821_1.954,75.7747,25.5725,2.8205,1.9544,20.0,10.2436,1.7844,multi_mean.csv,72
multi_mean_72,71.990_26.863_3.940_1.984,71.9897,26.8633,3.9403,1.9838,20.0,10.1657,1.6256,multi_mean.csv,73
multi_mean_73,97.149_22.657_3.643_1.769,97.1488,22.6575,3.6433,1.7688,20.0,11.0985,2.0078,multi_mean.csv,74
multi_mean_74,87.246_27.314_3.374_1.020,87.2463,27.314,3.3744,1.0204,20.0,6.9244,2.0867,multi_mean.csv,75
multi_mean_75,96.363_24.413_2.151_3.064,96.3632,24.4132,2.1507,3.064,20.0,14.1371,1.8938,multi_mean.csv,76
multi_mean_76,90.549_23.258_3.175_1.216,90.5486,23.2584,3.1754,1.2158,20.0,8.3009,2.1635,multi_mean.csv,77
multi_mean_77,76.987_22.949_2.656_2.569,76.9872,22.9492,2.6557,2.5686,20.0,12.8757,1.7997,multi_mean.csv,78
multi_mean_78,83.497_25.789_3.454_3.920,83.4973,25.7886,3.4538,3.9197,20.0,14.3534,1.6088,multi_mean.csv,79
multi_mean_79,72.265_23.579_2.909_3.998,72.2651,23.5795,2.9088,3.998,20.0,13.9393,1.6539,multi_mean.csv,80
multi_mean_80,92.733_25.271_3.751_1.389,92.7329,25.2712,3.7507,1.3891,20.0,8.9826,1.9955,multi_mean.csv,81
multi_mean_81,63.472_28.259_2.986_3.501,63.4723,28.259,2.9858,3.501,20.0,12.6057,1.4679,multi_mean.csv,82
multi_mean_82,86.949_29.181_2.574_3.651,86.9491,29.1811,2.5735,3.6508,20.0,13.7457,1.5921,multi_mean.csv,83
multi_mean_83,94.822_27.511_3.202_3.178,94.8216,27.5107,3.2017,3.178,20.0,14.1289,1.6759,multi_mean.csv,84
multi_mean_84,85.804_27.618_2.951_1.321,85.804,27.6177,2.9514,1.321,20.0,7.96,1.9508,multi_mean.csv,85
multi_mean_85,97.826_27.945_3.706_3.359,97.8261,27.9452,3.7062,3.3586,20.0,14.5254,1.6285,multi_mean.csv,86
multi_mean_86,60.316_26.255_3.836_1.879,60.3165,26.2545,3.8359,1.8788,20.0,9.3851,1.6226,multi_mean.csv,87
multi_mean_87,92.829_28.205_2.876_2.058,92.8292,28.2054,2.8755,2.058,20.0,11.3501,1.7777,multi_mean.csv,88
multi_mean_88,75.119_26.437_2.323_3.261,75.1192,26.4372,2.3234,3.2608,20.0,12.9201,1.6554,multi_mean.csv,89
multi_mean_89,65.931_23.082_2.413_2.192,65.9313,23.0818,2.4133,2.1924,20.0,10.9538,1.7956,multi_mean.csv,90
multi_mean_90,91.368_24.172_2.033_2.455,91.3682,24.1723,2.0327,2.4546,20.0,13.0514,1.9237,multi_mean.csv,91
multi_mean_91,84.357_27.050_3.550_3.413,84.3566,27.0499,3.5504,3.413,20.0,13.7847,1.5806,multi_mean.csv,92
multi_mean_92,78.908_26.793_3.281_1.538,78.9078,26.7931,3.2814,1.5382,20.0,8.6161,1.8326,multi_mean.csv,93
multi_mean_93,67.904_27.846_2.712_1.460,67.9036,27.8455,2.7117,1.4599,20.0,7.5997,1.8044,multi_mean.csv,94
multi_mean_94,61.146_25.847_2.603_2.135,61.1459,25.8467,2.6025,2.1355,20.0,10.3474,1.6858,multi_mean.csv,95
multi_mean_95,89.717_29.493_2.728_2.422,89.7173,29.4931,2.7275,2.4222,20.0,12.5124,1.6655,multi_mean.csv,96
multi_mean_96,85.026_24.925_2.046_3.761,85.0257,24.925,2.046,3.7612,20.0,13.9597,1.7754,multi_mean.csv,97
multi_mean_97,89.380_23.980_2.530_2.855,89.3796,23.9795,2.5304,2.8552,20.0,13.7006,1.8388,multi_mean.csv,98
multi_mean_98,69.870_29.309_2.393_2.767,69.8696,29.3086,2.3935,2.767,20.0,11.9322,1.5507,multi_mean.csv,99
multi_mean_99,68.430_25.108_2.454_1.090,68.4305,25.1077,2.4543,1.0901,20.0,6.3761,2.0763,multi_mean.csv,100
multi_mean_100,93.676_23.732_3.628_2.719,93.6759,23.7315,3.6284,2.7187,20.0,14.0682,1.7997,multi_mean.csv,101
multi_mean_101,95.857_29.738_2.181_3.318,95.8569,29.7376,2.1813,3.3178,40.0,13.6447,1.6996,multi_mean.csv,102
multi_mean_102,74.116_26.034_3.484_3.029,74.1161,26.0335,3.4838,3.0294,40.0,12.8437,1.601,multi_mean.csv,103
multi_mean_103,73.078_23.392_2.081_1.245,73.0778,23.3923,2.0813,1.2448,40.0,7.0798,2.1376,multi_mean.csv,104
multi_mean_104,65.091_24.760_2.259_1.790,65.0913,24.7596,2.2594,1.7905,40.0,8.9267,1.8559,multi_mean.csv,105
multi_mean_105,79.641_22.586_3.429_2.366,79.6413,22.5858,3.4289,2.3663,40.0,12.4528,1.8149,multi_mean.csv,106
multi_mean_106,69.179_23.851_2.773_2.679,69.1793,23.8511,2.7735,2.6792,40.0,12.4315,1.7275,multi_mean.csv,107
multi_mean_107,66.842_28.662_3.032_2.884,66.8418,28.6616,3.0322,2.8843,40.0,12.0224,1.5196,multi_mean.csv,108
multi_mean_108,62.052_27.232_3.912_1.548,62.0517,27.232,3.9116,1.5475,40.0,7.8434,1.7051,multi_mean.csv,109
multi_mean_109,98.562_28.463_3.786_2.263,98.562,28.4629,3.7862,2.2631,40.0,12.5514,1.7318,multi_mean.csv,110
multi_mean_110,81.949_22.091_2.284_3.621,81.9493,22.0908,2.284,3.6208,40.0,13.9587,1.8489,multi_mean.csv,111
multi_mean_111,64.243_22.430_2.510_2.938,64.2432,22.4298,2.5095,2.938,40.0,12.5372,1.742,multi_mean.csv,112
multi_mean_112,99.818_25.441_3.977_3.149,99.8177,25.4411,3.9768,3.1486,40.0,14.6435,1.7522,multi_mean.csv,113
multi_mean_113,77.815_24.632_3.335_1.698,77.815,24.6322,3.3351,1.6976,40.0,9.3445,1.8754,multi_mean.csv,114
multi_mean_114,76.464_29.601_3.061_2.519,76.4638,29.6008,3.0612,2.5195,40.0,12.0369,1.5679,multi_mean.csv,115
multi_mean_115,62.738_24.333_3.280_3.532,62.7383,24.3334,3.2799,3.5323,40.0,12.9733,1.5824,multi_mean.csv,116
multi_mean_116,82.784_29.948_3.860_1.174,82.7845,29.9478,3.86,1.1744,40.0,6.8901,1.8718,multi_mean.csv,117
multi_mean_117,80.876_28.722_2.238_2.239,80.8762,28.7216,2.2377,2.2386,40.0,11.0284,1.7293,multi_mean.csv,118
multi_mean_118,70.616_26.590_3.137_3.855,70.6159,26.5897,3.1373,3.855,40.0,13.3301,1.5514,multi_mean.csv,119
multi_mean_119,88.181_28.887_3.564_3.723,88.1806,28.8866,3.5645,3.7228,40.0,13.9951,1.5455,multi_mean.csv,120
multi_mean_120,80.672_22.169_3.119_1.642,80.6718,22.1685,3.1191,1.6422,40.0,9.493,2.0034,multi_mean.csv,121
multi_mean_121,75.775_25.573_2.821_1.954,75.7747,25.5725,2.8205,1.9544,40.0,10.1305,1.8112,multi_mean.csv,122
multi_mean_122,71.990_26.863_3.940_1.984,71.9897,26.8633,3.9403,1.9838,40.0,10.0488,1.6516,multi_mean.csv,123
multi_mean_123,97.149_22.657_3.643_1.769,97.1488,22.6575,3.6433,1.7688,40.0,10.9942,2.039,multi_mean.csv,124
multi_mean_124,87.246_27.314_3.374_1.020,87.2463,27.314,3.3744,1.0204,40.0,6.8061,2.119,multi_mean.csv,125
multi_mean_125,96.363_24.413_2.151_3.064,96.3632,24.4132,2.1507,3.064,40.0,14.0275,1.9199,multi_mean.csv,126
multi_mean_126,90.549_23.258_3.175_1.216,90.5486,23.2584,3.1754,1.2158,40.0,8.1948,2.1957,multi_mean.csv,127
multi_mean_127,76.987_22.949_2.656_2.569,76.9872,22.9492,2.6557,2.5686,40.0,12.7705,1.8243,multi_mean.csv,128
multi_mean_128,83.497_25.789_3.454_3.920,83.4973,25.7886,3.4538,3.9197,40.0,14.2396,1.6293,multi_mean.csv,129
multi_mean_129,72.265_23.579_2.909_3.998,72.2651,23.5795,2.9088,3.998,40.0,13.8322,1.6722,multi_mean.csv,130
multi_mean_130,92.733_25.271_3.751_1.389,92.7329,25.2712,3.7507,1.3891,40.0,8.8704,2.0274,multi_mean.csv,131
multi_mean_131,63.472_28.259_2.986_3.501,63.4723,28.259,2.9858,3.501,40.0,12.4845,1.4865,multi_mean.csv,132
multi_mean_132,86.949_29.181_2.574_3.651,86.9491,29.1811,2.5735,3.6508,40.0,13.6217,1.6142,multi_mean.csv,133
multi_mean_133,94.822_27.511_3.202_3.178,94.8216,27.5107,3.2017,3.178,40.0,14.01,1.7013,multi_mean.csv,134
multi_mean_134,85.804_27.618_2.951_1.321,85.804,27.6177,2.9514,1.321,40.0,7.8408,1.9817,multi_mean.csv,135
multi_mean_135,97.826_27.945_3.706_3.359,97.8261,27.9452,3.7062,3.3586,40.0,14.4052,1.6537,multi_mean.csv,136
multi_mean_136,60.316_26.255_3.836_1.879,60.3165,26.2545,3.8359,1.8788,40.0,9.2699,1.647,multi_mean.csv,137
multi_mean_137,92.829_28.205_2.876_2.058,92.8292,28.2054,2.8755,2.058,40.0,11.229,1.807,multi_mean.csv,138
multi_mean_138,75.119_26.437_2.323_3.261,75.1192,26.4372,2.3234,3.2608,40.0,12.8044,1.677,multi_mean.csv,139
multi_mean_139,65.931_23.082_2.413_2.192,65.9313,23.0818,2.4133,2.1924,40.0,10.8482,1.8198,multi_mean.csv,140
multi_mean_140,91.368_24.172_2.033_2.455,91.3682,24.1723,2.0327,2.4546,40.0,12.9425,1.9512,multi_mean.csv,141
multi_mean_141,84.357_27.050_3.550_3.413,84.3566,27.0499,3.5504,3.413,40.0,13.6671,1.6032,multi_mean.csv,142
multi_mean_142,78.908_26.793_3.281_1.538,78.9078,26.7931,3.2814,1.5382,40.0,8.4993,1.8616,multi_mean.csv,143
multi_mean_143,67.904_27.846_2.712_1.460,67.9036,27.8455,2.7117,1.4599,40.0,7.4797,1.8317,multi_mean.csv,144
multi_mean_144,61.146_25.847_2.603_2.135,61.1459,25.8467,2.6025,2.1355,40.0,10.2335,1.7094,multi_mean.csv,145
multi_mean_145,89.717_29.493_2.728_2.422,89.7173,29.4931,2.7275,2.4222,40.0,12.3875,1.6929,multi_mean.csv,146
multi_mean_146,85.026_24.925_2.046_3.761,85.0257,24.925,2.046,3.7612,40.0,13.8486,1.7969,multi_mean.csv,147
multi_mean_147,89.380_23.980_2.530_2.855,89.3796,23.9795,2.5304,2.8552,40.0,13.5923,1.8645,multi_mean.csv,148
multi_mean_148,69.870_29.309_2.393_2.767,69.8696,29.3086,2.3935,2.767,40.0,11.8079,1.5733,multi_mean.csv,149
multi_mean_149,68.430_25.108_2.454_1.090,68.4305,25.1077,2.4543,1.0901,40.0,6.2644,2.1051,multi_mean.csv,150
multi_mean_150,93.676_23.732_3.628_2.719,93.6759,23.7315,3.6284,2.7187,40.0,13.9607,1.8266,multi_mean.csv,151
multi_mean_151,95.857_29.738_2.181_3.318,95.8569,29.7376,2.1813,3.3178,60.0,13.519,1.7246,multi_mean.csv,152
multi_mean_152,74.116_26.034_3.484_3.029,74.1161,26.0335,3.4838,3.0294,60.0,12.7292,1.6234,multi_mean.csv,153
multi_mean_153,73.078_23.392_2.081_1.245,73.0778,23.3923,2.0813,1.2448,60.0,6.9733,2.1666,multi_mean.csv,154
multi_mean_154,65.091_24.760_2.259_1.790,65.0913,24.7596,2.2594,1.7905,60.0,8.8161,1.8814,multi_mean.csv,155
multi_mean_155,79.641_22.586_3.429_2.366,79.6413,22.5858,3.4289,2.3663,60.0,12.3487,1.8408,multi_mean.csv,156
multi_mean_156,69.179_23.851_2.773_2.679,69.1793,23.8511,2.7735,2.6792,60.0,12.3236,1.7504,multi_mean.csv,157
multi_mean_157,66.842_28.662_3.032_2.884,66.8418,28.6616,3.0322,2.8843,60.0,11.9,1.5412,multi_mean.csv,158
multi_mean_158,62.052_27.232_3.912_1.548,62.0517,27.232,3.9116,1.5475,60.0,7.7253,1.731,multi_mean.csv,159
multi_mean_159,98.562_28.463_3.786_2.263,98.562,28.4629,3.7862,2.2631,60.0,12.4296,1.7614,multi_mean.csv,160
multi_mean_160,81.949_22.091_2.284_3.621,81.9493,22.0908,2.284,3.6208,60.0,13.8561,1.8703,multi_mean.csv,161
multi_mean_161,64.243_22.430_2.510_2.938,64.2432,22.4298,2.5095,2.938,60.0,12.4335,1.763,multi_mean.csv,162
multi_mean_162,99.818_25.441_3.977_3.149,99.8177,25.4411,3.9768,3.1486,60.0,14.5308,1.7785,multi_mean.csv,163
multi_mean_163,77.815_24.632_3.335_1.698,77.815,24.6322,3.3351,1.6976,60.0,9.2343,1.9035,multi_mean.csv,164
multi_mean_164,76.464_29.601_3.061_2.519,76.4638,29.6008,3.0612,2.5195,60.0,11.9117,1.5926,multi_mean.csv,165
multi_mean_165,62.738_24.333_3.280_3.532,62.7383,24.3334,3.2799,3.5323,60.0,12.8639,1.6008,multi_mean.csv,166
multi_mean_166,82.784_29.948_3.860_1.174,82.7845,29.9478,3.86,1.1744,60.0,6.7639,1.9028,multi_mean.csv,167
multi_mean_167,80.876_28.722_2.238_2.239,80.8762,28.7216,2.2377,2.2386,60.0,10.9058,1.7558,multi_mean.csv,168
multi_mean_168,70.616_26.590_3.137_3.855,70.6159,26.5897,3.1373,3.855,60.0,13.2139,1.57,multi_mean.csv,169
multi_mean_169,88.181_28.887_3.564_3.723,88.1806,28.8866,3.5645,3.7228,60.0,13.872,1.5676,multi_mean.csv,170
multi_mean_170,80.672_22.169_3.119_1.642,80.6718,22.1685,3.1191,1.6422,60.0,9.3901,2.0322,multi_mean.csv,171
multi_mean_171,75.775_25.573_2.821_1.954,75.7747,25.5725,2.8205,1.9544,60.0,10.0174,1.8379,multi_mean.csv,172
multi_mean_172,71.990_26.863_3.940_1.984,71.9897,26.8633,3.9403,1.9838,60.0,9.9318,1.6776,multi_mean.csv,173
multi_mean_173,97.149_22.657_3.643_1.769,97.1488,22.6575,3.6433,1.7688,60.0,10.8899,2.0702,multi_mean.csv,174
multi_mean_174,87.246_27.314_3.374_1.020,87.2463,27.314,3.3744,1.0204,60.0,6.6877,2.1514,multi_mean.csv,175
multi_mean_175,96.363_24.413_2.151_3.064,96.3632,24.4132,2.1507,3.064,60.0,13.9179,1.946,multi_mean.csv,176
multi_mean_176,90.549_23.258_3.175_1.216,90.5486,23.2584,3.1754,1.2158,60.0,8.0887,2.2279,multi_mean.csv,177
multi_mean_177,76.987_22.949_2.656_2.569,76.9872,22.9492,2.6557,2.5686,60.0,12.6653,1.8489,multi_mean.csv,178
multi_mean_178,83.497_25.789_3.454_3.920,83.4973,25.7886,3.4538,3.9197,60.0,14.1259,1.6499,multi_mean.csv,179
multi_mean_179,72.265_23.579_2.909_3.998,72.2651,23.5795,2.9088,3.998,60.0,13.7251,1.6905,multi_mean.csv,180
multi_mean_180,92.733_25.271_3.751_1.389,92.7329,25.2712,3.7507,1.3891,60.0,8.7582,2.0593,multi_mean.csv,181
multi_mean_181,63.472_28.259_2.986_3.501,63.4723,28.259,2.9858,3.501,60.0,12.3634,1.5052,multi_mean.csv,182
multi_mean_182,86.949_29.181_2.574_3.651,86.9491,29.1811,2.5735,3.6508,60.0,13.4977,1.6364,multi_mean.csv,183
multi_mean_183,94.822_27.511_3.202_3.178,94.8216,27.5107,3.2017,3.178,60.0,13.8911,1.7266,multi_mean.csv,184
multi_mean_184,85.804_27.618_2.951_1.321,85.804,27.6177,2.9514,1.321,60.0,7.7215,2.0126,multi_mean.csv,185
multi_mean_185,97.826_27.945_3.706_3.359,97.8261,27.9452,3.7062,3.3586,60.0,14.2849,1.6789,multi_mean.csv,186
multi_mean_186,60.316_26.255_3.836_1.879,60.3165,26.2545,3.8359,1.8788,60.0,9.1548,1.6713,multi_mean.csv,187
multi_mean_187,92.829_28.205_2.876_2.058,92.8292,28.2054,2.8755,2.058,60.0,11.108,1.8363,multi_mean.csv,188
multi_mean_188,75.119_26.437_2.323_3.261,75.1192,26.4372,2.3234,3.2608,60.0,12.6887,1.6986,multi_mean.csv,189
multi_mean_189,65.931_23.082_2.413_2.192,65.9313,23.0818,2.4133,2.1924,60.0,10.7426,1.8439,multi_mean.csv,190
multi_mean_190,91.368_24.172_2.033_2.455,91.3682,24.1723,2.0327,2.4546,60.0,12.8336,1.9788,multi_mean.csv,191
multi_mean_191,84.357_27.050_3.550_3.413,84.3566,27.0499,3.5504,3.413,60.0,13.5496,1.6259,multi_mean.csv,192
multi_mean_192,78.908_26.793_3.281_1.538,78.9078,26.7931,3.2814,1.5382,60.0,8.3826,1.8905,multi_mean.csv,193
multi_mean_193,67.904_27.846_2.712_1.460,67.9036,27.8455,2.7117,1.4599,60.0,7.3598,1.859,multi_mean.csv,194
multi_mean_194,61.146_25.847_2.603_2.135,61.1459,25.8467,2.6025,2.1355,60.0,10.1196,1.7329,multi_mean.csv,195
multi_mean_195,89.717_29.493_2.728_2.422,89.7173,29.4931,2.7275,2.4222,60.0,12.2626,1.7203,multi_mean.csv,196
multi_mean_196,85.026_24.925_2.046_3.761,85.0257,24.925,2.046,3.7612,60.0,13.7374,1.8183,multi_mean.csv,197
multi_mean_197,89.380_23.980_2.530_2.855,89.3796,23.9795,2.5304,2.8552,60.0,13.484,1.8901,multi_mean.csv,198
multi_mean_198,69.870_29.309_2.393_2.767,69.8696,29.3086,2.3935,2.767,60.0,11.6835,1.5959,multi_mean.csv,199
multi_mean_199,68.430_25.108_2.454_1.090,68.4305,25.1077,2.4543,1.0901,60.0,6.1527,2.1339,multi_mean.csv,200
multi_mean_200,93.676_23.732_3.628_2.719,93.6759,23.7315,3.6284,2.7187,60.0,13.8531,1.8535,multi_mean.csv,201
multi_mean_201,95.857_29.738_2.181_3.318,95.8569,29.7376,2.1813,3.3178,80.0,13.3934,1.7496,multi_mean.csv,202
multi_mean_202,74.116_26.034_3.484_3.029,74.1161,26.0335,3.4838,3.0294,80.0,12.6147,1.6457,multi_mean.csv,203
