sample_id,group_id,current_A,speed_cm_min,frequency_Hz,amplitude_mm,width_mm,height_mm,source_file,source_row
single_factor_52,80.000_26.000_2.083_2.500,80.0,26.0,2.083,2.5,9.99,2.704,single_factor.csv,53
single_factor_53,80.000_26.000_2.167_2.500,80.0,26.0,2.167,2.5,9.997,2.69,single_factor.csv,54
single_factor_54,80.000_26.000_2.250_2.500,80.0,26.0,2.25,2.5,10.006,2.674,single_factor.csv,55
single_factor_55,80.000_26.000_2.333_2.500,80.0,26.0,2.333,2.5,10.009,2.665,single_factor.csv,56
single_factor_56,80.000_26.000_2.417_2.500,80.0,26.0,2.417,2.5,10.013,2.644,single_factor.csv,57
single_factor_57,80.000_26.000_2.500_2.500,80.0,26.0,2.5,2.5,10.011,2.637,single_factor.csv,58
single_factor_58,80.000_26.000_2.583_2.500,80.0,26.0,2.583,2.5,10.026,2.611,single_factor.csv,59
single_factor_59,80.000_26.000_2.667_2.500,80.0,26.0,2.667,2.5,10.028,2.602,single_factor.csv,60
single_factor_60,80.000_26.000_2.750_2.500,80.0,26.0,2.75,2.5,10.032,2.577,single_factor.csv,61
single_factor_61,80.000_26.000_2.833_2.500,80.0,26.0,2.833,2.5,10.043,2.56,single_factor.csv,62
single_factor_62,80.000_26.000_2.917_2.500,80.0,26.0,2.917,2.5,10.048,2.551,single_factor.csv,63
single_factor_63,80.000_26.000_3.000_2.500,80.0,26.0,3.0,2.5,10.06,2.53,single_factor.csv,64
single_factor_64,80.000_26.000_3.083_2.500,80.0,26.0,3.083,2.5,10.067,2.508,single_factor.csv,65
single_factor_65,80.000_26.000_3.167_2.500,80.0,26.0,3.167,2.5,10.072,2.499,single_factor.csv,66
single_factor_66,80.000_26.000_3.250_2.500,80.0,26.0,3.25,2.5,10.083,2.503,single_factor.csv,67
single_factor_67,80.000_26.000_3.333_2.500,80.0,26.0,3.333,2.5,10.093,2.473,single_factor.csv,68
single_factor_68,80.000_26.000_3.417_2.500,80.0,26.0,3.417,2.5,10.113,2.464,single_factor.csv,69
single_factor_69,80.000_26.000_3.500_2.500,80.0,26.0,3.5,2.5,10.113,2.436,single_factor.csv,70
single_factor_70,80.000_26.000_3.583_2.500,80.0,26.0,3.583,2.5,10.132,2.436,single_factor.csv,71
single_factor_71,80.000_26.000_3.667_2.500,80.0,26.0,3.667,2.5,10.136,2.416,single_factor.csv,72
single_factor_72,80.000_26.000_3.750_2.500,80.0,26.0,3.75,2.5,10.145,2.411,single_factor.csv,73
single_factor_73,80.000_26.000_3.833_2.500,80.0,26.0,3.833,2.5,10.16,2.387,single_factor.csv,74
single_factor_74,80.000_26.000_3.917_2.500,80.0,26.0,3.917,2.5,10.169,2.378,single_factor.csv,75
single_factor_75,80.000_26.000_4.000_2.500,80.0,26.0,4.0,2.5,10.19,2.37,single_factor.csv,76
single_factor_76,80.000_26.000_3.000_1.000,80.0,26.0,3.0,1.0,6.18,3.55,single_factor.csv,77
single_factor_77,80.000_26.000_3.000_1.125,80.0,26.0,3.0,1.125,6.471,3.446,single_factor.csv,78
single_factor_78,80.000_26.000_3.000_1.250,80.0,26.0,3.0,1.25,6.778,3.337,single_factor.csv,79
single_factor_79,80.000_26.000_3.000_1.375,80.0,26.0,3.0,1.375,7.042,3.197,single_factor.csv,80
single_factor_80,80.000_26.000_3.000_1.500,80.0,26.0,3.0,1.5,7.384,3.132,single_factor.csv,81
single_factor_81,80.000_26.000_3.000_1.625,80.0,26.0,3.0,1.625,7.676,3.051,single_factor.csv,82
single_factor_82,80.000_26.000_3.000_1.750,80.0,26.0,3.0,1.75,8.01,2.969,single_factor.csv,83
single_factor_83,80.000_26.000_3.000_1.875,80.0,26.0,3.0,1.875,8.331,2.867,single_factor.csv,84
single_factor_84,80.000_26.000_3.000_2.000,80.0,26.0,3.0,2.0,8.689,2.793,single_factor.csv,85
single_factor_85,80.000_26.000_3.000_2.125,80.0,26.0,3.0,2.125,9.016,2.691,single_factor.csv,86
single_factor_86,80.000_26.000_3.000_2.250,80.0,26.0,3.0,2.25,9.351,2.64,single_factor.csv,87
single_factor_87,80.000_26.000_3.000_2.375,80.0,26.0,3.0,2.375,9.686,2.585,single_factor.csv,88
single_factor_88,80.000_26.000_3.000_2.500,80.0,26.0,3.0,2.5,10.06,2.53,single_factor.csv,89
single_factor_89,80.000_26.000_3.000_2.625,80.0,26.0,3.0,2.625,10.253,2.477,single_factor.csv,90
single_factor_90,80.000_26.000_3.000_2.750,80.0,26.0,3.0,2.75,10.447,2.421,single_factor.csv,91
single_factor_91,80.000_26.000_3.000_2.875,80.0,26.0,3.0,2.875,10.671,2.381,single_factor.csv,92
single_factor_92,80.000_26.000_3.000_3.000,80.0,26.0,3.0,3.0,10.88,2.33,single_factor.csv,93
single_factor_93,80.000_26.000_3.000_3.125,80.0,26.0,3.0,3.125,11.146,2.292,single_factor.csv,94
single_factor_94,80.000_26.000_3.000_3.250,80.0,26.0,3.0,3.25,11.346,2.24,single_factor.csv,95
single_factor_95,80.000_26.000_3.000_3.375,80.0,26.0,3.0,3.375,11.611,2.227,single_factor.csv,96
single_factor_96,80.000_26.000_3.000_3.500,80.0,26.0,3.0,3.5,11.879,2.21,single_factor.csv,97
single_factor_97,80.000_26.000_3.000_3.625,80.0,26.0,3.0,3.625,12.074,2.177,single_factor.csv,98
single_factor_98,80.000_26.000_3.000_3.750,80.0,26.0,3.0,3.75,12.385,2.18,single_factor.csv,99
single_factor_99,80.000_26.000_3.000_3.875,80.0,26.0,3.0,3.875,12.637,2.125,single_factor.csv,100
single_factor_100,80.000_26.000_3.000_4.000,80.0,26.0,3.0,4.0,12.9,2.12,single_factor.csv,101
single_orthogonal_1,80.000_26.000_3.000_2.500,80.0,26.0,3.0,2.5,10.06,2.53,single_orthogonal.csv,2
single_orthogonal_2,91.400_27.000_2.970_3.985,91.4,27.0,2.97,3.985,12.711,2.384,single_orthogonal.csv,3
single_orthogonal_3,67.000_29.400_3.770_1.825,67.0,29.4,3.77,1.825,7.972,2.596,single_orthogonal.csv,4
single_orthogonal_4,98.600_27.880_3.730_1.645,98.6,27.88,3.73,1.645,8.039,3.119,single_orthogonal.csv,5
single_orthogonal_5,73.400_25.400_2.650_1.375,73.4,25.4,2.65,1.375,7.145,3.066,single_orthogonal.csv,6
single_orthogonal_6,90.200_24.520_3.330_3.925,90.2,24.52,3.33,3.925,12.672,2.383,single_orthogonal.csv,7
single_orthogonal_7,66.600_29.560_3.270_2.275,66.6,29.56,3.27,2.275,9.069,2.411,single_orthogonal.csv,8
single_orthogonal_8,83.000_23.320_3.970_3.385,83.0,23.32,3.97,3.385,11.591,2.408,single_orthogonal.csv,9
single_orthogonal_9,96.600_24.840_3.410_3.505,96.6,24.84,3.41,3.505,11.953,2.51,single_orthogonal.csv,10
single_orthogonal_10,99.000_28.200_3.290_2.005,99.0,28.2,3.29,2.005,8.888,2.962,single_orthogonal.csv,11
single_orthogonal_11,79.800_29.320_2.670_1.915,79.8,29.32,2.67,1.915,8.462,2.741,single_orthogonal.csv,12
single_orthogonal_12,70.200_24.680_2.110_2.635,70.2,24.68,2.11,2.635,9.983,2.538,single_orthogonal.csv,13
single_orthogonal_13,90.600_22.680_3.870_3.475,90.6,22.68,3.87,3.475,11.896,2.526,single_orthogonal.csv,14
single_orthogonal_14,75.000_26.600_3.710_3.415,75.0,26.6,3.71,3.415,11.379,2.225,single_orthogonal.csv,15
single_orthogonal_15,74.600_25.800_2.770_2.575,74.6,25.8,2.77,2.575,10.065,2.489,single_orthogonal.csv,16
single_orthogonal_16,81.800_29.960_2.830_3.595,81.8,29.96,2.83,3.595,11.675,2.295,single_orthogonal.csv,17
single_orthogonal_17,79.400_23.960_2.790_1.315,79.4,23.96,2.79,1.315,7.145,3.223,single_orthogonal.csv,18
single_orthogonal_18,98.200_23.000_2.530_3.685,98.2,23.0,2.53,3.685,12.263,2.706,single_orthogonal.csv,19
single_orthogonal_19,87.800_25.160_2.810_2.485,87.8,25.16,2.81,2.485,10.123,2.681,single_orthogonal.csv,20
single_orthogonal_20,93.800_24.600_3.190_1.885,93.8,24.6,3.19,1.885,8.632,2.994,single_orthogonal.csv,21
single_orthogonal_21,89.800_28.520_2.850_2.995,89.8,28.52,2.85,2.995,10.844,2.504,single_orthogonal.csv,22
single_orthogonal_22,63.800_27.160_3.570_3.325,63.8,27.16,3.57,3.325,10.834,2.13,single_orthogonal.csv,23
single_orthogonal_23,75.400_26.120_3.230_3.295,75.4,26.12,3.23,3.295,11.184,2.223,single_orthogonal.csv,24
single_orthogonal_24,68.200_28.600_2.390_1.075,68.2,28.6,2.39,1.075,6.268,3.185,single_orthogonal.csv,25
single_orthogonal_25,95.800_27.240_2.250_2.935,95.8,27.24,2.25,2.935,10.861,2.699,single_orthogonal.csv,26
single_orthogonal_26,72.600_25.880_3.450_3.355,72.6,25.88,3.45,3.355,11.254,2.228,single_orthogonal.csv,27
single_orthogonal_27,92.600_25.320_2.450_2.605,92.6,25.32,2.45,2.605,10.344,2.733,single_orthogonal.csv,28
single_orthogonal_28,97.000_23.880_3.750_2.185,97.0,23.88,3.75,2.185,9.462,2.935,single_orthogonal.csv,29
single_orthogonal_29,87.000_22.600_2.930_2.155,87.0,22.6,2.93,2.155,9.278,2.949,single_orthogonal.csv,30
single_orthogonal_30,87.400_26.440_2.550_2.695,87.4,26.44,2.55,2.695,10.441,2.604,single_orthogonal.csv,31
single_orthogonal_31,93.400_26.360_2.870_1.195,93.4,26.36,2.87,1.195,6.96,3.438,single_orthogonal.csv,32
single_orthogonal_32,94.200_22.760_3.530_2.425,94.2,22.76,3.53,2.425,10.111,2.867,single_orthogonal.csv,33
single_orthogonal_33,72.200_29.480_2.990_2.305,72.2,29.48,2.99,2.305,9.288,2.468,single_orthogonal.csv,34
single_orthogonal_34,99.800_27.960_2.270_3.235,99.8,27.96,2.27,3.235,11.324,2.709,single_orthogonal.csv,35
single_orthogonal_35,91.000_28.280_2.590_1.945,91.0,28.28,2.59,1.945,8.687,2.932,single_orthogonal.csv,36
single_orthogonal_36,60.600_27.640_3.690_3.835,60.6,27.64,3.69,3.835,11.609,2.051,single_orthogonal.csv,37
single_orthogonal_37,89.000_27.720_2.350_1.525,89.0,27.72,2.35,1.525,7.637,3.149,single_orthogonal.csv,38
single_orthogonal_38,81.400_29.720_2.130_3.055,81.4,29.72,2.13,3.055,10.756,2.438,single_orthogonal.csv,39
single_orthogonal_39,73.800_25.720_3.950_1.105,73.8,25.72,3.95,1.105,6.627,3.129,single_orthogonal.csv,40
single_orthogonal_40,92.200_25.560_2.050_3.655,92.2,25.56,2.05,3.655,12.074,2.508,single_orthogonal.csv,41
single_orthogonal_41,97.800_28.360_3.630_2.395,97.8,28.36,3.63,2.395,9.936,2.756,single_orthogonal.csv,42
single_orthogonal_42,97.400_26.200_3.150_3.775,97.4,26.2,3.15,3.775,12.431,2.483,single_orthogonal.csv,43
single_orthogonal_43,67.400_29.880_2.610_3.625,67.4,29.88,2.61,3.625,11.326,2.18,single_orthogonal.csv,44
single_orthogonal_44,81.000_27.560_2.710_2.845,81.0,27.56,2.71,2.845,10.507,2.444,single_orthogonal.csv,45
single_orthogonal_45,96.200_22.280_3.550_2.545,96.2,22.28,3.55,2.545,10.361,2.905,single_orthogonal.csv,46
single_orthogonal_46,65.000_27.080_2.190_1.285,65.0,27.08,2.19,1.285,6.703,3.057,single_orthogonal.csv,47
single_orthogonal_47,61.000_22.440_3.130_1.585,61.0,22.44,3.13,1.585,7.281,3.022,single_orthogonal.csv,48
single_orthogonal_48,88.200_22.360_3.350_3.205,88.2,22.36,3.35,3.205,11.318,2.634,single_orthogonal.csv,49
single_orthogonal_49,77.800_23.720_3.310_1.615,77.8,23.72,3.31,1.615,7.801,3.004,single_orthogonal.csv,50
single_orthogonal_50,76.600_28.440_2.310_2.515,76.6,28.44,2.31,2.515,9.913,2.532,single_orthogonal.csv,51
single_orthogonal_51,71.800_24.200_3.370_2.245,71.8,24.2,3.37,2.245,9.26,2.579,single_orthogonal.csv,52
single_orthogonal_52,82.200_29.640_3.510_3.085,82.2,29.64,3.51,3.085,10.854,2.321,single_orthogonal.csv,53
single_orthogonal_53,67.800_26.920_2.470_2.965,67.8,26.92,2.47,2.965,10.383,2.334,single_orthogonal.csv,54
single_orthogonal_54,86.200_27.400_2.170_3.115,86.2,27.4,2.17,3.115,11.015,2.505,single_orthogonal.csv,55
single_orthogonal_55,99.400_24.760_3.670_3.715,99.4,24.76,3.67,3.715,12.324,2.53,single_orthogonal.csv,56
single_orthogonal_56,95.400_23.560_2.950_3.565,95.4,23.56,2.95,3.565,12.028,2.578,single_orthogonal.csv,57
single_orthogonal_57,83.400_29.240_3.110_1.855,83.4,29.24,3.11,1.855,8.343,2.8,single_orthogonal.csv,58
single_orthogonal_58,64.200_26.760_3.170_3.895,64.2,26.76,3.17,3.895,11.883,2.102,single_orthogonal.csv,59
single_orthogonal_59,62.200_25.240_3.210_2.035,62.2,25.24,3.21,2.035,8.381,2.58,single_orthogonal.csv,60
single_orthogonal_60,86.600_25.640_2.070_1.045,86.6,25.64,2.07,1.045,6.511,3.491,single_orthogonal.csv,61
single_orthogonal_61,85.000_27.480_3.070_1.675,85.0,27.48,3.07,1.675,7.996,2.928,single_orthogonal.csv,62
single_orthogonal_62,89.400_22.520_2.370_3.745,89.4,22.52,2.37,3.745,12.273,2.613,single_orthogonal.csv,63
single_orthogonal_63,91.800_24.360_2.690_2.815,91.8,24.36,2.69,2.815,10.696,2.687,single_orthogonal.csv,64
single_orthogonal_64,69.400_22.920_3.850_1.555,69.4,22.92,3.85,1.555,7.524,2.965,single_orthogonal.csv,65
single_orthogonal_65,65.400_26.520_2.570_2.065,65.4,26.52,2.57,2.065,8.538,2.598,single_orthogonal.csv,66
single_orthogonal_66,61.400_23.240_2.030_1.345,61.4,23.24,2.03,1.345,6.713,3.211,single_orthogonal.csv,67
single_orthogonal_67,62.600_24.040_3.990_2.665,62.6,24.04,3.99,2.665,9.883,2.38,single_orthogonal.csv,68
single_orthogonal_68,88.600_26.040_2.890_1.135,88.6,26.04,2.89,1.135,6.787,3.361,single_orthogonal.csv,69
single_orthogonal_69,94.600_23.480_2.730_3.535,94.6,23.48,2.73,3.535,11.95,2.64,single_orthogonal.csv,70
single_orthogonal_70,84.600_29.000_3.890_2.365,84.6,29.0,3.89,2.365,9.722,2.533,single_orthogonal.csv,71
single_orthogonal_71,71.400_28.680_2.010_3.865,71.4,28.68,2.01,3.865,11.969,2.254,single_orthogonal.csv,72
single_orthogonal_72,60.200_25.480_2.630_3.445,60.2,25.48,2.63,3.445,10.877,2.211,single_orthogonal.csv,73
single_orthogonal_73,83.800_25.960_2.090_2.125,83.8,25.96,2.09,2.125,9.076,2.78,single_orthogonal.csv,74
single_orthogonal_74,61.800_23.800_3.250_2.335,61.8,23.8,3.25,2.335,9.159,2.55,single_orthogonal.csv,75
single_orthogonal_75,63.000_22.040_3.810_2.455,63.0,22.04,3.81,2.455,9.567,2.621,single_orthogonal.csv,76
single_orthogonal_76,79.000_25.000_2.150_1.765,79.0,25.0,2.15,1.765,8.156,2.955,single_orthogonal.csv,77
single_orthogonal_77,85.800_23.640_3.610_2.875,85.8,23.64,3.61,2.875,10.74,2.55,single_orthogonal.csv,78
single_orthogonal_78,69.000_24.280_2.210_2.785,69.0,24.28,2.21,2.785,10.17,2.512,single_orthogonal.csv,79
single_orthogonal_79,71.000_27.800_3.050_3.805,71.0,27.8,3.05,3.805,11.926,2.178,single_orthogonal.csv,80
single_orthogonal_80,66.200_28.040_2.510_1.735,66.2,28.04,2.51,1.735,7.742,2.731,single_orthogonal.csv,81
single_orthogonal_81,64.600_28.840_2.290_3.265,64.6,28.84,2.29,3.265,10.665,2.245,single_orthogonal.csv,82
single_orthogonal_82,77.000_23.160_2.410_2.725,77.0,23.16,2.41,2.725,10.33,2.644,single_orthogonal.csv,83
single_orthogonal_83,82.600_24.920_3.590_1.705,82.6,24.92,3.59,1.705,8.111,2.896,single_orthogonal.csv,84
single_orthogonal_84,65.800_27.320_3.910_3.145,65.8,27.32,3.91,3.145,10.672,2.144,single_orthogonal.csv,85
single_orthogonal_85,63.400_24.120_3.390_3.025,63.4,24.12,3.39,3.025,10.386,2.334,single_orthogonal.csv,86
single_orthogonal_86,73.000_22.120_3.490_1.795,73.0,22.12,3.49,1.795,8.173,2.942,single_orthogonal.csv,87
single_orthogonal_87,95.000_29.080_3.090_3.955,95.0,29.08,3.09,3.955,12.639,2.431,single_orthogonal.csv,88
single_orthogonal_88,75.800_22.200_2.490_2.905,75.8,22.2,2.49,2.905,10.594,2.667,single_orthogonal.csv,89
single_orthogonal_89,84.200_28.120_3.650_1.495,84.2,28.12,3.65,1.495,7.573,2.965,single_orthogonal.csv,90
single_orthogonal_90,70.600_24.440_3.790_2.095,70.6,24.44,3.79,2.095,8.905,2.599,single_orthogonal.csv,91
single_orthogonal_91,85.400_28.920_2.230_1.255,85.4,28.92,2.23,1.255,6.953,3.273,single_orthogonal.csv,92
single_orthogonal_92,68.600_26.680_2.910_2.215,68.6,26.68,2.91,2.215,9.076,2.507,single_orthogonal.csv,93
single_orthogonal_93,77.400_26.840_2.430_1.975,77.4,26.84,2.43,1.975,8.647,2.742,single_orthogonal.csv,94
single_orthogonal_94,78.600_26.280_3.030_1.465,78.6,26.28,3.03,1.465,7.434,2.984,single_orthogonal.csv,95
single_orthogonal_95,80.200_23.400_3.010_1.165,80.2,23.4,3.01,1.165,6.802,3.343,single_orthogonal.csv,96
single_orthogonal_96,80.600_29.800_3.430_1.405,80.6,29.8,3.43,1.405,7.278,2.983,single_orthogonal.csv,97
single_orthogonal_97,69.800_28.760_3.830_1.015,69.8,28.76,3.83,1.015,6.252,3.137,single_orthogonal.csv,98
single_orthogonal_98,76.200_23.080_3.930_1.435,76.2,23.08,3.93,1.435,7.419,3.108,single_orthogonal.csv,99
single_orthogonal_99,74.200_29.160_2.750_1.225,74.2,29.16,2.75,1.225,6.759,3.079,single_orthogonal.csv,100
single_orthogonal_100,78.200_25.080_2.330_3.175,78.2,25.08,2.33,3.175,11.041,2.421,single_orthogonal.csv,101
