condition_id,group_id,current_A,speed_cm_min,frequency_Hz,amplitude_mm,cooling_s,layer,width_mm,height_mm,factor,x_variable,x_value,source_file,source_row
Welding current_98.3333,98.333_26.000_3.000_3.000,98.3333,26.0,3.0,3.0,60.0,2,10.464,3.1171,Welding current,Welding current (A),98.3333,layer_partial.csv,50
Welding current_100.0,100.000_26.000_3.000_3.000,100.0,26.0,3.0,3.0,60.0,2,10.5426,3.1518,Welding current,Welding current (A),100.0,layer_partial.csv,51
Welding current_60.0,60.000_26.000_3.000_3.000,60.0,26.0,3.0,3.0,60.0,3,8.8538,2.178,Welding current,Welding current (A),60.0,layer_partial.csv,52
Welding current_61.6667,61.667_26.000_3.000_3.000,61.6667,26.0,3.0,3.0,60.0,3,8.914,2.2075,Welding current,Welding current (A),61.6667,layer_partial.csv,53
Welding current_63.3333,63.333_26.000_3.000_3.000,63.3333,26.0,3.0,3.0,60.0,3,8.9727,2.2093,Welding current,Welding current (A),63.3333,layer_partial.csv,54
Welding current_65.0,65.000_26.000_3.000_3.000,65.0,26.0,3.0,3.0,60.0,3,9.0371,2.2633,Welding current,Welding current (A),65.0,layer_partial.csv,55
Welding current_66.6667,66.667_26.000_3.000_3.000,66.6667,26.0,3.0,3.0,60.0,3,9.0844,2.2885,Welding current,Welding current (A),66.6667,layer_partial.csv,56
Welding current_68.3333,68.333_26.000_3.000_3.000,68.3333,26.0,3.0,3.0,60.0,3,9.1544,2.3177,Welding current,Welding current (A),68.3333,layer_partial.csv,57
Welding current_70.0,70.000_26.000_3.000_3.000,70.0,26.0,3.0,3.0,60.0,3,9.2136,2.3533,Welding current,Welding current (A),70.0,layer_partial.csv,58
Welding current_71.6667,71.667_26.000_3.000_3.000,71.6667,26.0,3.0,3.0,60.0,3,9.339,2.4256,Welding current,Welding current (A),71.6667,layer_partial.csv,59
Welding current_73.3333,73.333_26.000_3.000_3.000,73.3333,26.0,3.0,3.0,60.0,3,9.3435,2.4521,Welding current,Welding current (A),73.3333,layer_partial.csv,60
Welding current_75.0,75.000_26.000_3.000_3.000,75.0,26.0,3.0,3.0,60.0,3,9.4693,2.4352,Welding current,Welding current (A),75.0,layer_partial.csv,61
Welding current_76.6667,76.667_26.000_3.000_3.000,76.6667,26.0,3.0,3.0,60.0,3,9.4737,2.5025,Welding current,Welding current (A),76.6667,layer_partial.csv,62
Welding current_78.3333,78.333_26.000_3.000_3.000,78.3333,26.0,3.0,3.0,60.0,3,9.6072,2.5716,Welding current,Welding current (A),78.3333,layer_partial.csv,63
Welding current_80.0,80.000_26.000_3.000_3.000,80.0,26.0,3.0,3.0,60.0,3,9.6163,2.609,Welding current,Welding current (A),80.0,layer_partial.csv,64
Welding current_81.6667,81.667_26.000_3.000_3.000,81.6667,26.0,3.0,3.0,60.0,3,9.715,2.6499,Welding current,Welding current (A),81.6667,layer_partial.csv,65
Welding current_83.3333,83.333_26.000_3.000_3.000,83.3333,26.0,3.0,3.0,60.0,3,9.8122,2.6686,Welding current,Welding current (A),83.3333,layer_partial.csv,66
Welding current_85.0,85.000_26.000_3.000_3.000,85.0,26.0,3.0,3.0,60.0,3,9.9045,2.7124,Welding current,Welding current (A),85.0,layer_partial.csv,67
Welding current_86.6667,86.667_26.000_3.000_3.000,86.6667,26.0,3.0,3.0,60.0,3,9.9989,2.7477,Welding current,Welding current (A),86.6667,layer_partial.csv,68
Welding current_88.3333,88.333_26.000_3.000_3.000,88.3333,26.0,3.0,3.0,60.0,3,10.0711,2.7926,Welding current,Welding current (A),88.3333,layer_partial.csv,69
Welding current_90.0,90.000_26.000_3.000_3.000,90.0,26.0,3.0,3.0,60.0,3,10.1401,2.8631,Welding current,Welding current (A),90.0,layer_partial.csv,70
Welding current_91.6667,91.667_26.000_3.000_3.000,91.6667,26.0,3.0,3.0,60.0,3,10.1994,2.9085,Welding current,Welding current (A),91.6667,layer_partial.csv,71
Welding current_93.3333,93.333_26.000_3.000_3.000,93.3333,26.0,3.0,3.0,60.0,3,10.3542,2.9464,Welding current,Welding current (A),93.3333,layer_partial.csv,72
Welding current_95.0,95.000_26.000_3.000_3.000,95.0,26.0,3.0,3.0,60.0,3,10.384,2.9921,Welding current,Welding current (A),95.0,layer_partial.csv,73
Welding current_96.6667,96.667_26.000_3.000_3.000,96.6667,26.0,3.0,3.0,60.0,3,10.3886,3.0446,Welding current,Welding current (A),96.6667,layer_partial.csv,74
Welding current_98.3333,98.333_26.000_3.000_3.000,98.3333,26.0,3.0,3.0,60.0,3,10.5962,3.1025,Welding current,Welding current (A),98.3333,layer_partial.csv,75
Welding current_100.0,100.000_26.000_3.000_3.000,100.0,26.0,3.0,3.0,60.0,3,10.6027,3.1432,Welding current,Welding current (A),100.0,layer_partial.csv,76
Welding current_60.0,60.000_26.000_3.000_3.000,60.0,26.0,3.0,3.0,60.0,4,8.9209,2.1707,Welding current,Welding current (A),60.0,layer_partial.csv,77
Welding current_61.6667,61.667_26.000_3.000_3.000,61.6667,26.0,3.0,3.0,60.0,4,8.9886,2.1568,Welding current,Welding current (A),61.6667,layer_partial.csv,78
Welding current_63.3333,63.333_26.000_3.000_3.000,63.3333,26.0,3.0,3.0,60.0,4,9.0805,2.2115,Welding current,Welding current (A),63.3333,layer_partial.csv,79
Welding current_65.0,65.000_26.000_3.000_3.000,65.0,26.0,3.0,3.0,60.0,4,9.0924,2.2433,Welding current,Welding current (A),65.0,layer_partial.csv,80
Welding current_66.6667,66.667_26.000_3.000_3.000,66.6667,26.0,3.0,3.0,60.0,4,9.122,2.2599,Welding current,Welding current (A),66.6667,layer_partial.csv,81
Welding current_68.3333,68.333_26.000_3.000_3.000,68.3333,26.0,3.0,3.0,60.0,4,9.2239,2.296,Welding current,Welding current (A),68.3333,layer_partial.csv,82
Welding current_70.0,70.000_26.000_3.000_3.000,70.0,26.0,3.0,3.0,60.0,4,9.2412,2.3118,Welding current,Welding current (A),70.0,layer_partial.csv,83
Welding current_71.6667,71.667_26.000_3.000_3.000,71.6667,26.0,3.0,3.0,60.0,4,9.3537,2.3897,Welding current,Welding current (A),71.6667,layer_partial.csv,84
Welding current_73.3333,73.333_26.000_3.000_3.000,73.3333,26.0,3.0,3.0,60.0,4,9.4231,2.4295,Welding current,Welding current (A),73.3333,layer_partial.csv,85
Welding current_75.0,75.000_26.000_3.000_3.000,75.0,26.0,3.0,3.0,60.0,4,9.5011,2.4925,Welding current,Welding current (A),75.0,layer_partial.csv,86
Welding current_76.6667,76.667_26.000_3.000_3.000,76.6667,26.0,3.0,3.0,60.0,4,9.5426,2.4927,Welding current,Welding current (A),76.6667,layer_partial.csv,87
Welding current_78.3333,78.333_26.000_3.000_3.000,78.3333,26.0,3.0,3.0,60.0,4,9.6819,2.5256,Welding current,Welding current (A),78.3333,layer_partial.csv,88
Welding current_80.0,80.000_26.000_3.000_3.000,80.0,26.0,3.0,3.0,60.0,4,9.6762,2.5481,Welding current,Welding current (A),80.0,layer_partial.csv,89
Welding current_81.6667,81.667_26.000_3.000_3.000,81.6667,26.0,3.0,3.0,60.0,4,9.819,2.6302,Welding current,Welding current (A),81.6667,layer_partial.csv,90
Welding current_83.3333,83.333_26.000_3.000_3.000,83.3333,26.0,3.0,3.0,60.0,4,9.9131,2.6571,Welding current,Welding current (A),83.3333,layer_partial.csv,91
Welding current_85.0,85.000_26.000_3.000_3.000,85.0,26.0,3.0,3.0,60.0,4,9.949,2.6958,Welding current,Welding current (A),85.0,layer_partial.csv,92
Welding current_86.6667,86.667_26.000_3.000_3.000,86.6667,26.0,3.0,3.0,60.0,4,10.0368,2.7305,Welding current,Welding current (A),86.6667,layer_partial.csv,93
Welding current_88.3333,88.333_26.000_3.000_3.000,88.3333,26.0,3.0,3.0,60.0,4,10.0993,2.7807,Welding current,Welding current (A),88.3333,layer_partial.csv,94
Welding current_90.0,90.000_26.000_3.000_3.000,90.0,26.0,3.0,3.0,60.0,4,10.1598,2.8337,Welding current,Welding current (A),90.0,layer_partial.csv,95
Welding current_91.6667,91.667_26.000_3.000_3.000,91.6667,26.0,3.0,3.0,60.0,4,10.2054,2.8807,Welding current,Welding current (A),91.6667,layer_partial.csv,96
Welding current_93.3333,93.333_26.000_3.000_3.000,93.3333,26.0,3.0,3.0,60.0,4,10.3898,2.9396,Welding current,Welding current (A),93.3333,layer_partial.csv,97
Welding current_95.0,95.000_26.000_3.000_3.000,95.0,26.0,3.0,3.0,60.0,4,10.3896,2.9652,Welding current,Welding current (A),95.0,layer_partial.csv,98
Welding current_96.6667,96.667_26.000_3.000_3.000,96.6667,26.0,3.0,3.0,60.0,4,10.5525,3.0082,Welding current,Welding current (A),96.6667,layer_partial.csv,99
Welding current_98.3333,98.333_26.000_3.000_3.000,98.3333,26.0,3.0,3.0,60.0,4,10.5977,3.0607,Welding current,Welding current (A),98.3333,layer_partial.csv,100
Welding current_100.0,100.000_26.000_3.000_3.000,100.0,26.0,3.0,3.0,60.0,4,10.6277,3.1244,Welding current,Welding current (A),100.0,layer_partial.csv,101
Welding current_60.0,60.000_26.000_3.000_3.000,60.0,26.0,3.0,3.0,60.0,5,9.0016,2.1432,Welding current,Welding current (A),60.0,layer_partial.csv,102
Welding current_61.6667,61.667_26.000_3.000_3.000,61.6667,26.0,3.0,3.0,60.0,5,8.9732,2.141,Welding current,Welding current (A),61.6667,layer_partial.csv,103
Welding current_63.3333,63.333_26.000_3.000_3.000,63.3333,26.0,3.0,3.0,60.0,5,9.059,2.1979,Welding current,Welding current (A),63.3333,layer_partial.csv,104
Welding current_65.0,65.000_26.000_3.000_3.000,65.0,26.0,3.0,3.0,60.0,5,9.1293,2.2095,Welding current,Welding current (A),65.0,layer_partial.csv,105
Welding current_66.6667,66.667_26.000_3.000_3.000,66.6667,26.0,3.0,3.0,60.0,5,9.2,2.2693,Welding current,Welding current (A),66.6667,layer_partial.csv,106
Welding current_68.3333,68.333_26.000_3.000_3.000,68.3333,26.0,3.0,3.0,60.0,5,9.2429,2.2844,Welding current,Welding current (A),68.3333,layer_partial.csv,107
Welding current_70.0,70.000_26.000_3.000_3.000,70.0,26.0,3.0,3.0,60.0,5,9.3706,2.315,Welding current,Welding current (A),70.0,layer_partial.csv,108
Welding current_71.6667,71.667_26.000_3.000_3.000,71.6667,26.0,3.0,3.0,60.0,5,9.407,2.359,Welding current,Welding current (A),71.6667,layer_partial.csv,109
Welding current_73.3333,73.333_26.000_3.000_3.000,73.3333,26.0,3.0,3.0,60.0,5,9.3802,2.3796,Welding current,Welding current (A),73.3333,layer_partial.csv,110
Welding current_75.0,75.000_26.000_3.000_3.000,75.0,26.0,3.0,3.0,60.0,5,9.5502,2.4258,Welding current,Welding current (A),75.0,layer_partial.csv,111
Welding current_76.6667,76.667_26.000_3.000_3.000,76.6667,26.0,3.0,3.0,60.0,5,9.5822,2.4584,Welding current,Welding current (A),76.6667,layer_partial.csv,112
Welding current_78.3333,78.333_26.000_3.000_3.000,78.3333,26.0,3.0,3.0,60.0,5,9.649,2.5012,Welding current,Welding current (A),78.3333,layer_partial.csv,113
Welding current_80.0,80.000_26.000_3.000_3.000,80.0,26.0,3.0,3.0,60.0,5,9.7317,2.555,Welding current,Welding current (A),80.0,layer_partial.csv,114
Welding current_81.6667,81.667_26.000_3.000_3.000,81.6667,26.0,3.0,3.0,60.0,5,9.8317,2.597,Welding current,Welding current (A),81.6667,layer_partial.csv,115
Welding current_83.3333,83.333_26.000_3.000_3.000,83.3333,26.0,3.0,3.0,60.0,5,9.8901,2.6517,Welding current,Welding current (A),83.3333,layer_partial.csv,116
Welding current_85.0,85.000_26.000_3.000_3.000,85.0,26.0,3.0,3.0,60.0,5,9.9921,2.6813,Welding current,Welding current (A),85.0,layer_partial.csv,117
Welding current_86.6667,86.667_26.000_3.000_3.000,86.6667,26.0,3.0,3.0,60.0,5,10.0974,2.7304,Welding current,Welding current (A),86.6667,layer_partial.csv,118
Welding current_88.3333,88.333_26.000_3.000_3.000,88.3333,26.0,3.0,3.0,60.0,5,10.1232,2.7726,Welding current,Welding current (A),88.3333,layer_partial.csv,119
Welding current_90.0,90.000_26.000_3.000_3.000,90.0,26.0,3.0,3.0,60.0,5,10.2016,2.8058,Welding current,Welding current (A),90.0,layer_partial.csv,120
Welding current_91.6667,91.667_26.000_3.000_3.000,91.6667,26.0,3.0,3.0,60.0,5,10.2918,2.8696,Welding current,Welding current (A),91.6667,layer_partial.csv,121
Welding current_93.3333,93.333_26.000_3.000_3.000,93.3333,26.0,3.0,3.0,60.0,5,10.3961,2.8961,Welding current,Welding current (A),93.3333,layer_partial.csv,122
Welding current_95.0,95.000_26.000_3.000_3.000,95.0,26.0,3.0,3.0,60.0,5,10.5053,2.9609,Welding current,Welding current (A),95.0,layer_partial.csv,123
Welding current_96.6667,96.667_26.000_3.000_3.000,96.6667,26.0,3.0,3.0,60.0,5,10.5984,3.0008,Welding current,Welding current (A),96.6667,layer_partial.csv,124
Welding current_98.3333,98.333_26.000_3.000_3.000,98.3333,26.0,3.0,3.0,60.0,5,10.6329,3.0403,Welding current,Welding current (A),98.3333,layer_partial.csv,125
Welding current_100.0,100.000_26.000_3.000_3.000,100.0,26.0,3.0,3.0,60.0,5,10.7122,3.0854,Welding current,Welding current (A),100.0,layer_partial.csv,126
Welding current_60.0,60.000_26.000_3.000_3.000,60.0,26.0,3.0,3.0,60.0,6,9.0245,2.1109,Welding current,Welding current (A),60.0,layer_partial.csv,127
Welding current_61.6667,61.667_26.000_3.000_3.000,61.6667,26.0,3.0,3.0,60.0,6,9.0194,2.1047,Welding current,Welding current (A),61.6667,layer_partial.csv,128
Welding current_63.3333,63.333_26.000_3.000_3.000,63.3333,26.0,3.0,3.0,60.0,6,9.1318,2.1448,Welding current,Welding current (A),63.3333,layer_partial.csv,129
Welding current_65.0,65.000_26.000_3.000_3.000,65.0,26.0,3.0,3.0,60.0,6,9.1701,2.1868,Welding current,Welding current (A),65.0,layer_partial.csv,130
Welding current_66.6667,66.667_26.000_3.000_3.000,66.6667,26.0,3.0,3.0,60.0,6,9.22,2.2273,Welding current,Welding current (A),66.6667,layer_partial.csv,131
Welding current_68.3333,68.333_26.000_3.000_3.000,68.3333,26.0,3.0,3.0,60.0,6,9.2795,2.2556,Welding current,Welding current (A),68.3333,layer_partial.csv,132
Welding current_70.0,70.000_26.000_3.000_3.000,70.0,26.0,3.0,3.0,60.0,6,9.3497,2.2868,Welding current,Welding current (A),70.0,layer_partial.csv,133
Welding current_71.6667,71.667_26.000_3.000_3.000,71.6667,26.0,3.0,3.0,60.0,6,9.4535,2.3068,Welding current,Welding current (A),71.6667,layer_partial.csv,134
Welding current_73.3333,73.333_26.000_3.000_3.000,73.3333,26.0,3.0,3.0,60.0,6,9.5032,2.3871,Welding current,Welding current (A),73.3333,layer_partial.csv,135
Welding current_75.0,75.000_26.000_3.000_3.000,75.0,26.0,3.0,3.0,60.0,6,9.5337,2.4197,Welding current,Welding current (A),75.0,layer_partial.csv,136
Welding current_76.6667,76.667_26.000_3.000_3.000,76.6667,26.0,3.0,3.0,60.0,6,9.6648,2.4277,Welding current,Welding current (A),76.6667,layer_partial.csv,137
Welding current_78.3333,78.333_26.000_3.000_3.000,78.3333,26.0,3.0,3.0,60.0,6,9.7122,2.4849,Welding current,Welding current (A),78.3333,layer_partial.csv,138
Welding current_80.0,80.000_26.000_3.000_3.000,80.0,26.0,3.0,3.0,60.0,6,9.779,2.5305,Welding current,Welding current (A),80.0,layer_partial.csv,139
Welding current_81.6667,81.667_26.000_3.000_3.000,81.6667,26.0,3.0,3.0,60.0,6,9.9173,2.5826,Welding current,Welding current (A),81.6667,layer_partial.csv,140
Welding current_83.3333,83.333_26.000_3.000_3.000,83.3333,26.0,3.0,3.0,60.0,6,9.995,2.6268,Welding current,Welding current (A),83.3333,layer_partial.csv,141
Welding current_85.0,85.000_26.000_3.000_3.000,85.0,26.0,3.0,3.0,60.0,6,10.0311,2.6599,Welding current,Welding current (A),85.0,layer_partial.csv,142
Welding current_86.6667,86.667_26.000_3.000_3.000,86.6667,26.0,3.0,3.0,60.0,6,10.1197,2.7061,Welding current,Welding current (A),86.6667,layer_partial.csv,143
Welding current_88.3333,88.333_26.000_3.000_3.000,88.3333,26.0,3.0,3.0,60.0,6,10.1925,2.748,Welding current,Welding current (A),88.3333,layer_partial.csv,144
Welding current_90.0,90.000_26.000_3.000_3.000,90.0,26.0,3.0,3.0,60.0,6,10.2372,2.788,Welding current,Welding current (A),90.0,layer_partial.csv,145
Welding current_91.6667,91.667_26.000_3.000_3.000,91.6667,26.0,3.0,3.0,60.0,6,10.3519,2.8474,Welding current,Welding current (A),91.6667,layer_partial.csv,146
Welding current_93.3333,93.333_26.000_3.000_3.000,93.3333,26.0,3.0,3.0,60.0,6,10.4383,2.8604,Welding current,Welding current (A),93.3333,layer_partial.csv,147
Welding current_95.0,95.000_26.000_3.000_3.000,95.0,26.0,3.0,3.0,60.0,6,10.5042,2.952,Welding current,Welding current (A),95.0,layer_partial.csv,148
Welding current_96.6667,96.667_26.000_3.000_3.000,96.6667,26.0,3.0,3.0,60.0,6,10.6204,2.9893,Welding current,Welding current (A),96.6667,layer_partial.csv,149
Welding current_98.3333,98.333_26.000_3.000_3.000,98.3333,26.0,3.0,3.0,60.0,6,10.6769,3.0164,Welding current,Welding current (A),98.3333,layer_partial.csv,150
Welding current_100.0,100.000_26.000_3.000_3.000,100.0,26.0,3.0,3.0,60.0,6,10.7494,3.0891,Welding current,Welding current (A),100.0,layer_partial.csv,151
Welding current_60.0,60.000_26.000_3.000_3.000,60.0,26.0,3.0,3.0,60.0,7,9.0522,2.0831,Welding current,Welding current (A),60.0,layer_partial.csv,152
Welding current_61.6667,61.667_26.000_3.000_3.000,61.6667,26.0,3.0,3.0,60.0,7,9.08,2.1304,Welding current,Welding current (A),61.6667,layer_partial.csv,153
Welding current_63.3333,63.333_26.000_3.000_3.000,63.3333,26.0,3.0,3.0,60.0,7,9.1812,2.1479,Welding current,Welding current (A),63.3333,layer_partial.csv,154
Welding current_65.0,65.000_26.000_3.000_3.000,65.0,26.0,3.0,3.0,60.0,7,9.2183,2.1608,Welding current,Welding current (A),65.0,layer_partial.csv,155
Welding current_66.6667,66.667_26.000_3.000_3.000,66.6667,26.0,3.0,3.0,60.0,7,9.2442,2.2026,Welding current,Welding current (A),66.6667,layer_partial.csv,156
Welding current_68.3333,68.333_26.000_3.000_3.000,68.3333,26.0,3.0,3.0,60.0,7,9.4013,2.2285,Welding current,Welding current (A),68.3333,layer_partial.csv,157
Welding current_70.0,70.000_26.000_3.000_3.000,70.0,26.0,3.0,3.0,60.0,7,9.416,2.2881,Welding current,Welding current (A),70.0,layer_partial.csv,158
Welding current_71.6667,71.667_26.000_3.000_3.000,71.6667,26.0,3.0,3.0,60.0,7,9.4812,2.2958,Welding current,Welding current (A),71.6667,layer_partial.csv,159
Welding current_73.3333,73.333_26.000_3.000_3.000,73.3333,26.0,3.0,3.0,60.0,7,9.5488,2.3315,Welding current,Welding current (A),73.3333,layer_partial.csv,160
Welding current_75.0,75.000_26.000_3.000_3.000,75.0,26.0,3.0,3.0,60.0,7,9.6371,2.3837,Welding current,Welding current (A),75.0,layer_partial.csv,161
Welding current_76.6667,76.667_26.000_3.000_3.000,76.6667,26.0,3.0,3.0,60.0,7,9.7069,2.4295,Welding current,Welding current (A),76.6667,layer_partial.csv,162
