序号,分析因素,层号,X变量,X值,宽度(mm),高度(mm)
53,Welding current,3,Welding current (A),63.3333,8.9727,2.2093
54,Welding current,3,Welding current (A),65.0,9.0371,2.2633
55,Welding current,3,Welding current (A),66.6667,9.0844,2.2885
56,Welding current,3,Welding current (A),68.3333,9.1544,2.3177
57,Welding current,3,Welding current (A),70.0,9.2136,2.3533
58,Welding current,3,Welding current (A),71.6667,9.339,2.4256
59,Welding current,3,Welding current (A),73.3333,9.3435,2.4521
60,Welding current,3,Welding current (A),75.0,9.4693,2.4352
61,Welding current,3,Welding current (A),76.6667,9.4737,2.5025
62,Welding current,3,Welding current (A),78.3333,9.6072,2.5716
63,Welding current,3,Welding current (A),80.0,9.6163,2.609
64,Welding current,3,Welding current (A),81.6667,9.715,2.6499
65,Welding current,3,Welding current (A),83.3333,9.8122,2.6686
66,Welding current,3,Welding current (A),85.0,9.9045,2.7124
67,Welding current,3,Welding current (A),86.6667,9.9989,2.7477
68,Welding current,3,Welding current (A),88.3333,10.0711,2.7926
69,Welding current,3,Welding current (A),90.0,10.1401,2.8631
70,Welding current,3,Welding current (A),91.6667,10.1994,2.9085
71,Welding current,3,Welding current (A),93.3333,10.3542,2.9464
72,Welding current,3,Welding current (A),95.0,10.384,2.9921
73,Welding current,3,Welding current (A),96.6667,10.3886,3.0446
74,Welding current,3,Welding current (A),98.3333,10.5962,3.1025
75,Welding current,3,Welding current (A),100.0,10.6027,3.1432
76,Welding current,4,Welding current (A),60.0,8.9209,2.1707
77,Welding current,4,Welding current (A),61.6667,8.9886,2.1568
78,Welding current,4,Welding current (A),63.3333,9.0805,2.2115
79,Welding current,4,Welding current (A),65.0,9.0924,2.2433
80,Welding current,4,Welding current (A),66.6667,9.122,2.2599
81,Welding current,4,Welding current (A),68.3333,9.2239,2.296
82,Welding current,4,Welding current (A),70.0,9.2412,2.3118
83,Welding current,4,Welding current (A),71.6667,9.3537,2.3897
84,Welding current,4,Welding current (A),73.3333,9.4231,2.4295
85,Welding current,4,Welding current (A),75.0,9.5011,2.4925
86,Welding current,4,Welding current (A),76.6667,9.5426,2.4927
87,Welding current,4,Welding current (A),78.3333,9.6819,2.5256
88,Welding current,4,Welding current (A),80.0,9.6762,2.5481
89,Welding current,4,Welding current (A),81.6667,9.819,2.6302
90,Welding current,4,Welding current (A),83.3333,9.9131,2.6571
91,Welding current,4,Welding current (A),85.0,9.949,2.6958
92,Welding current,4,Welding current (A),86.6667,10.0368,2.7305
93,Welding current,4,Welding current (A),88.3333,10.0993,2.7807
94,Welding current,4,Welding current (A),90.0,10.1598,2.8337
95,Welding current,4,Welding current (A),91.6667,10.2054,2.8807
96,Welding current,4,Welding current (A),93.3333,10.3898,2.9396
97,Welding current,4,Welding current (A),95.0,10.3896,2.9652
98,Welding current,4,Welding current (A),96.6667,10.5525,3.0082
99,Welding current,4,Welding current (A),98.3333,10.5977,3.0607
100,Welding current,4,Welding current (A),100.0,10.6277,3.1244
101,Welding current,5,Welding current (A),60.0,9.0016,2.1432
102,Welding current,5,Welding current (A),61.6667,8.9732,2.141
103,Welding current,5,Welding current (A),63.3333,9.059,2.1979
104,Welding current,5,Welding current (A),65.0,9.1293,2.2095
105,Welding current,5,Welding current (A),66.6667,9.2,2.2693
106,Welding current,5,Welding current (A),68.3333,9.2429,2.2844
107,Welding current,5,Welding current (A),70.0,9.3706,2.315
108,Welding current,5,Welding current (A),71.6667,9.407,2.359
109,Welding current,5,Welding current (A),73.3333,9.3802,2.3796
110,Welding current,5,Welding current (A),75.0,9.5502,2.4258
111,Welding current,5,Welding current (A),76.6667,9.5822,2.4584
112,Welding current,5,Welding current (A),78.3333,9.649,2.5012
113,Welding current,5,Welding current (A),80.0,9.7317,2.555
114,Welding current,5,Welding current (A),81.6667,9.8317,2.597
115,Welding current,5,Welding current (A),83.3333,9.8901,2.6517
116,Welding current,5,Welding current (A),85.0,9.9921,2.6813
117,Welding current,5,Welding current (A),86.6667,10.0974,2.7304
118,Welding current,5,Welding current (A),88.3333,10.1232,2.7726
119,Welding current,5,Welding current (A),90.0,10.2016,2.8058
120,Welding current,5,Welding current (A),91.6667,10.2918,2.8696
121,Welding current,5,Welding current (A),93.3333,10.3961,2.8961
122,Welding current,5,Welding current (A),95.0,10.5053,2.9609
123,Welding current,5,Welding current (A),96.6667,10.5984,3.0008
124,Welding current,5,Welding current (A),98.3333,10.6329,3.0403
125,Welding current,5,Welding current (A),100.0,10.7122,3.0854
126,Welding current,6,Welding current (A),60.0,9.0245,2.1109
127,Welding current,6,Welding current (A),61.6667,9.0194,2.1047
128,Welding current,6,Welding current (A),63.3333,9.1318,2.1448
129,Welding current,6,Welding current (A),65.0,9.1701,2.1868
130,Welding current,6,Welding current (A),66.6667,9.22,2.2273
131,Welding current,6,Welding current (A),68.3333,9.2795,2.2556
132,Welding current,6,Welding current (A),70.0,9.3497,2.2868
133,Welding current,6,Welding current (A),71.6667,9.4535,2.3068
134,Welding current,6,Welding current (A),73.3333,9.5032,2.3871
135,Welding current,6,Welding current (A),75.0,9.5337,2.4197
136,Welding current,6,Welding current (A),76.6667,9.6648,2.4277
137,Welding current,6,Welding current (A),78.3333,9.7122,2.4849
138,Welding current,6,Welding current (A),80.0,9.779,2.5305
139,Welding current,6,Welding current (A),81.6667,9.9173,2.5826
140,Welding current,6,Welding current (A),83.3333,9.995,2.6268
141,Welding current,6,Welding current (A),85.0,10.0311,2.6599
142,Welding current,6,Welding current (A),86.6667,10.1197,2.7061
143,Welding current,6,Welding current (A),88.3333,10.1925,2.748
144,Welding current,6,Welding current (A),90.0,10.2372,2.788
145,Welding current,6,Welding current (A),91.6667,10.3519,2.8474
146,Welding current,6,Welding current (A),93.3333,10.4383,2.8604
147,Welding current,6,Welding current (A),95.0,10.5042,2.952
148,Welding current,6,Welding current (A),96.6667,10.6204,2.9893
149,Welding current,6,Welding current (A),98.3333,10.6769,3.0164
150,Welding current,6,Welding current (A),100.0,10.7494,3.0891
151,Welding current,7,Welding current (A),60.0,9.0522,2.0831
152,Welding current,7,Welding current (A),61.6667,9.08,2.1304
153,Welding current,7,Welding current (A),63.3333,9.1812,2.1479
154,Welding current,7,Welding current (A),65.0,9.2183,2.1608
155,Welding current,7,Welding current (A),66.6667,9.2442,2.2026
156,Welding current,7,Welding current (A),68.3333,9.4013,2.2285
157,Welding current,7,Welding current (A),70.0,9.416,2.2881
158,Welding current,7,Welding current (A),71.6667,9.4812,2.2958
159,Welding current,7,Welding current (A),73.3333,9.5488,2.3315
160,Welding current,7,Welding current (A),75.0,9.6371,2.3837
161,Welding current,7,Welding current (A),76.6667,9.7069,2.4295
162,Welding current,7,Welding current (A),78.3333,9.7376,2.4791
163,Welding current,7,Welding current (A),80.0,9.8736,2.5077
164,Welding current,7,Welding current (A),81.6667,9.9278,2.5338
165,Welding current,7,Welding current (A),83.3333,9.9802,2.6046
166,Welding current,7,Welding current (A),85.0,10.0841,2.6405
167,Welding current,7,Welding current (A),86.6667,10.1197,2.6727
168,Welding current,7,Welding current (A),88.3333,10.1843,2.7175
169,Welding current,7,Welding current (A),90.0,10.2923,2.7749
170,Welding current,7,Welding current (A),91.6667,10.4332,2.8064
171,Welding current,7,Welding current (A),93.3333,10.4685,2.8664
172,Welding current,7,Welding current (A),95.0,10.5594,2.92
173,Welding current,7,Welding current (A),96.6667,10.6465,2.9473
174,Welding current,7,Welding current (A),98.3333,10.7345,2.9798
175,Welding current,7,Welding current (A),100.0,10.876,3.0684
176,Welding current,8,Welding current (A),60.0,9.0746,2.0585
177,Welding current,8,Welding current (A),61.6667,9.1779,2.0968
178,Welding current,8,Welding current (A),63.3333,9.2347,2.1265
179,Welding current,8,Welding current (A),65.0,9.2259,2.1608
180,Welding current,8,Welding current (A),66.6667,9.3337,2.18
181,Welding current,8,Welding current (A),68.3333,9.4249,2.2015
182,Welding current,8,Welding current (A),70.0,9.4897,2.2388
183,Welding current,8,Welding current (A),71.6667,9.6089,2.3016
184,Welding current,8,Welding current (A),73.3333,9.6256,2.2998
185,Welding current,8,Welding current (A),75.0,9.6464,2.3553
186,Welding current,8,Welding current (A),76.6667,9.791,2.3823
187,Welding current,8,Welding current (A),78.3333,9.8091,2.4502
188,Welding current,8,Welding current (A),80.0,9.9148,2.4878
189,Welding current,8,Welding current (A),81.6667,9.9893,2.5268
190,Welding current,8,Welding current (A),83.3333,10.0172,2.5808
191,Welding current,8,Welding current (A),85.0,10.1541,2.6065
192,Welding current,8,Welding current (A),86.6667,10.2028,2.6643
193,Welding current,8,Welding current (A),88.3333,10.2711,2.7161
194,Welding current,8,Welding current (A),90.0,10.4202,2.7397
195,Welding current,8,Welding current (A),91.6667,10.467,2.7966
196,Welding current,8,Welding current (A),93.3333,10.561,2.8799
197,Welding current,8,Welding current (A),95.0,10.6846,2.901
198,Welding current,8,Welding current (A),96.6667,10.7425,2.9291
199,Welding current,8,Welding current (A),98.3333,10.7944,2.9998
200,Welding current,8,Welding current (A),100.0,10.9285,3.0522
201,Welding current,9,Welding current (A),60.0,9.1561,2.0392
202,Welding current,9,Welding current (A),61.6667,9.1972,2.0593
203,Welding current,9,Welding current (A),63.3333,9.2683,2.0883
204,Welding current,9,Welding current (A),65.0,9.3428,2.1053
205,Welding current,9,Welding current (A),66.6667,9.368,2.1487
206,Welding current,9,Welding current (A),68.3333,9.4528,2.1928
207,Welding current,9,Welding current (A),70.0,9.5225,2.2389
208,Welding current,9,Welding current (A),71.6667,9.5753,2.2821
209,Welding current,9,Welding current (A),73.3333,9.6943,2.306
210,Welding current,9,Welding current (A),75.0,9.6812,2.3538
211,Welding current,9,Welding current (A),76.6667,9.7771,2.3504
212,Welding current,9,Welding current (A),78.3333,9.8762,2.4368
213,Welding current,9,Welding current (A),80.0,9.9944,2.443
214,Welding current,9,Welding current (A),81.6667,10.0252,2.5089
215,Welding current,9,Welding current (A),83.3333,10.0905,2.5552
216,Welding current,9,Welding current (A),85.0,10.1656,2.5661
217,Welding current,9,Welding current (A),86.6667,10.2563,2.6351
218,Welding current,9,Welding current (A),88.3333,10.3476,2.6982
219,Welding current,9,Welding current (A),90.0,10.4714,2.7055
220,Welding current,9,Welding current (A),91.6667,10.5267,2.7617
221,Welding current,9,Welding current (A),93.3333,10.5118,2.8332
222,Welding current,9,Welding current (A),95.0,10.715,2.8598
223,Welding current,9,Welding current (A),96.6667,10.7716,2.9175
224,Welding current,9,Welding current (A),98.3333,10.8494,2.9624
225,Welding current,9,Welding current (A),100.0,10.9453,2.9992
226,Welding current,10,Welding current (A),60.0,9.2407,2.0393
227,Welding current,10,Welding current (A),61.6667,9.2588,2.0332
228,Welding current,10,Welding current (A),63.3333,9.3498,2.0567
229,Welding current,10,Welding current (A),65.0,9.4128,2.1057
230,Welding current,10,Welding current (A),66.6667,9.4411,2.1407
231,Welding current,10,Welding current (A),68.3333,9.4873,2.1738
232,Welding current,10,Welding current (A),70.0,9.5381,2.2136
233,Welding current,10,Welding current (A),71.6667,9.6559,2.2519
234,Welding current,10,Welding current (A),73.3333,9.7055,2.2967
235,Welding current,10,Welding current (A),75.0,9.7862,2.3173
236,Welding current,10,Welding current (A),76.6667,9.8736,2.361
237,Welding current,10,Welding current (A),78.3333,9.9557,2.3988
238,Welding current,10,Welding current (A),80.0,10.0368,2.434
239,Welding current,10,Welding current (A),81.6667,10.1017,2.4856
240,Welding current,10,Welding current (A),83.3333,10.195,2.5265
241,Welding current,10,Welding current (A),85.0,10.2368,2.5523
242,Welding current,10,Welding current (A),86.6667,10.2954,2.6118
243,Welding current,10,Welding current (A),88.3333,10.3664,2.6665
244,Welding current,10,Welding current (A),90.0,10.5192,2.7103
245,Welding current,10,Welding current (A),91.6667,10.563,2.7481
246,Welding current,10,Welding current (A),93.3333,10.6412,2.8117
247,Welding current,10,Welding current (A),95.0,10.7174,2.8639
248,Welding current,10,Welding current (A),96.6667,10.8141,2.9009
249,Welding current,10,Welding current (A),98.3333,10.904,2.95
250,Welding current,10,Welding current (A),100.0,11.0078,2.9917
251,Welding speed,1,Welding speed (cm/min),22.0,10.1142,2.9539
252,Welding speed,1,Welding speed (cm/min),22.3333,10.0879,2.9237
253,Welding speed,1,Welding speed (cm/min),22.6667,10.0782,2.9033
254,Welding speed,1,Welding speed (cm/min),23.0,10.0958,2.9067
255,Welding speed,1,Welding speed (cm/min),23.3333,10.0777,2.8732
256,Welding speed,1,Welding speed (cm/min),23.6667,10.0886,2.8591
257,Welding speed,1,Welding speed (cm/min),24.0,10.0721,2.8354
258,Welding speed,1,Welding speed (cm/min),24.3333,10.0484,2.8097
259,Welding speed,1,Welding speed (cm/min),24.6667,10.0443,2.8064
260,Welding speed,1,Welding speed (cm/min),25.0,10.043,2.7869
261,Welding speed,1,Welding speed (cm/min),25.3333,10.022,2.756
262,Welding speed,1,Welding speed (cm/min),25.6667,9.9946,2.7228
263,Welding speed,1,Welding speed (cm/min),26.0,10.004,2.7183
264,Welding speed,1,Welding speed (cm/min),26.3333,9.9819,2.7056
265,Welding speed,1,Welding speed (cm/min),26.6667,9.9697,2.6793
266,Welding speed,1,Welding speed (cm/min),27.0,9.941,2.6584
267,Welding speed,1,Welding speed (cm/min),27.3333,9.9559,2.6462
268,Welding speed,1,Welding speed (cm/min),27.6667,9.9133,2.6324
269,Welding speed,1,Welding speed (cm/min),28.0,9.9099,2.6007
270,Welding speed,1,Welding speed (cm/min),28.3333,9.9295,2.5862
271,Welding speed,1,Welding speed (cm/min),28.6667,9.8968,2.5592
272,Welding speed,1,Welding speed (cm/min),29.0,9.892,2.5571
273,Welding speed,1,Welding speed (cm/min),29.3333,9.853,2.5214
274,Welding speed,1,Welding speed (cm/min),29.6667,9.8687,2.4964
275,Welding speed,1,Welding speed (cm/min),30.0,9.8413,2.4781
276,Welding speed,2,Welding speed (cm/min),22.0,10.1501,2.937
277,Welding speed,2,Welding speed (cm/min),22.3333,10.1642,2.9074
278,Welding speed,2,Welding speed (cm/min),22.6667,10.1329,2.8822
279,Welding speed,2,Welding speed (cm/min),23.0,10.1519,2.8734
280,Welding speed,2,Welding speed (cm/min),23.3333,10.1253,2.8453
281,Welding speed,2,Welding speed (cm/min),23.6667,10.1242,2.831
282,Welding speed,2,Welding speed (cm/min),24.0,10.103,2.8195
283,Welding speed,2,Welding speed (cm/min),24.3333,10.1043,2.8109
284,Welding speed,2,Welding speed (cm/min),24.6667,10.0849,2.8001
285,Welding speed,2,Welding speed (cm/min),25.0,10.0845,2.7447
286,Welding speed,2,Welding speed (cm/min),25.3333,10.0483,2.7341
287,Welding speed,2,Welding speed (cm/min),25.6667,10.0379,2.7094
288,Welding speed,2,Welding speed (cm/min),26.0,10.041,2.7018
289,Welding speed,2,Welding speed (cm/min),26.3333,10.0209,2.6882
290,Welding speed,2,Welding speed (cm/min),26.6667,9.9882,2.6621
291,Welding speed,2,Welding speed (cm/min),27.0,10.0065,2.644
292,Welding speed,2,Welding speed (cm/min),27.3333,9.9829,2.6247
293,Welding speed,2,Welding speed (cm/min),27.6667,9.9646,2.6149
294,Welding speed,2,Welding speed (cm/min),28.0,9.9814,2.5774
295,Welding speed,2,Welding speed (cm/min),28.3333,9.9402,2.5494
296,Welding speed,2,Welding speed (cm/min),28.6667,9.9715,2.5432
297,Welding speed,2,Welding speed (cm/min),29.0,9.9268,2.5131
298,Welding speed,2,Welding speed (cm/min),29.3333,9.9125,2.5066
299,Welding speed,2,Welding speed (cm/min),29.6667,9.9035,2.4739
300,Welding speed,2,Welding speed (cm/min),30.0,9.8932,2.4544
301,Welding speed,3,Welding speed (cm/min),22.0,10.2282,2.8979
302,Welding speed,3,Welding speed (cm/min),22.3333,10.2157,2.8789
303,Welding speed,3,Welding speed (cm/min),22.6667,10.1738,2.8732
304,Welding speed,3,Welding speed (cm/min),23.0,10.189,2.8656
305,Welding speed,3,Welding speed (cm/min),23.3333,10.1852,2.8211
306,Welding speed,3,Welding speed (cm/min),23.6667,10.1433,2.8232
307,Welding speed,3,Welding speed (cm/min),24.0,10.1361,2.7907
308,Welding speed,3,Welding speed (cm/min),24.3333,10.1386,2.782
309,Welding speed,3,Welding speed (cm/min),24.6667,10.0988,2.7771
310,Welding speed,3,Welding speed (cm/min),25.0,10.1172,2.7613
311,Welding speed,3,Welding speed (cm/min),25.3333,10.096,2.7263
312,Welding speed,3,Welding speed (cm/min),25.6667,10.1117,2.6928
313,Welding speed,3,Welding speed (cm/min),26.0,10.0671,2.6887
314,Welding speed,3,Welding speed (cm/min),26.3333,10.08,2.6626
315,Welding speed,3,Welding speed (cm/min),26.6667,10.056,2.6471
316,Welding speed,3,Welding speed (cm/min),27.0,10.0349,2.6185
317,Welding speed,3,Welding speed (cm/min),27.3333,10.0339,2.623
318,Welding speed,3,Welding speed (cm/min),27.6667,10.0141,2.5802
319,Welding speed,3,Welding speed (cm/min),28.0,10.0051,2.5736
320,Welding speed,3,Welding speed (cm/min),28.3333,9.9992,2.5394
321,Welding speed,3,Welding speed (cm/min),28.6667,9.9979,2.5175
322,Welding speed,3,Welding speed (cm/min),29.0,9.9661,2.5
323,Welding speed,3,Welding speed (cm/min),29.3333,9.9561,2.4799
324,Welding speed,3,Welding speed (cm/min),29.6667,9.9402,2.4706
325,Welding speed,3,Welding speed (cm/min),30.0,9.9285,2.439
326,Welding speed,4,Welding speed (cm/min),22.0,10.2441,2.8966
327,Welding speed,4,Welding speed (cm/min),22.3333,10.2446,2.8675
328,Welding speed,4,Welding speed (cm/min),22.6667,10.2397,2.8399
329,Welding speed,4,Welding speed (cm/min),23.0,10.219,2.8368
330,Welding speed,4,Welding speed (cm/min),23.3333,10.2182,2.8151
331,Welding speed,4,Welding speed (cm/min),23.6667,10.2148,2.7861
332,Welding speed,4,Welding speed (cm/min),24.0,10.1878,2.773
333,Welding speed,4,Welding speed (cm/min),24.3333,10.1773,2.7576
334,Welding speed,4,Welding speed (cm/min),24.6667,10.1737,2.7233
335,Welding speed,4,Welding speed (cm/min),25.0,10.1517,2.7099
336,Welding speed,4,Welding speed (cm/min),25.3333,10.1423,2.687
337,Welding speed,4,Welding speed (cm/min),25.6667,10.1423,2.679
338,Welding speed,4,Welding speed (cm/min),26.0,10.1201,2.6702
339,Welding speed,4,Welding speed (cm/min),26.3333,10.1191,2.6336
340,Welding speed,4,Welding speed (cm/min),26.6667,10.104,2.6201
341,Welding speed,4,Welding speed (cm/min),27.0,10.0898,2.6092
342,Welding speed,4,Welding speed (cm/min),27.3333,10.0805,2.5906
343,Welding speed,4,Welding speed (cm/min),27.6667,10.0728,2.5498
344,Welding speed,4,Welding speed (cm/min),28.0,10.037,2.5388
345,Welding speed,4,Welding speed (cm/min),28.3333,10.0216,2.5185
346,Welding speed,4,Welding speed (cm/min),28.6667,10.0076,2.4943
347,Welding speed,4,Welding speed (cm/min),29.0,10.0315,2.4916
348,Welding speed,4,Welding speed (cm/min),29.3333,9.9782,2.4641
349,Welding speed,4,Welding speed (cm/min),29.6667,9.9907,2.4433
350,Welding speed,4,Welding speed (cm/min),30.0,9.9879,2.4225
351,Welding speed,5,Welding speed (cm/min),22.0,10.3163,2.8623
352,Welding speed,5,Welding speed (cm/min),22.3333,10.3003,2.8512
353,Welding speed,5,Welding speed (cm/min),22.6667,10.2734,2.8268
354,Welding speed,5,Welding speed (cm/min),23.0,10.2653,2.8085
355,Welding speed,5,Welding speed (cm/min),23.3333,10.2618,2.7868
356,Welding speed,5,Welding speed (cm/min),23.6667,10.2631,2.7628
357,Welding speed,5,Welding speed (cm/min),24.0,10.2363,2.7519
358,Welding speed,5,Welding speed (cm/min),24.3333,10.2355,2.7369
359,Welding speed,5,Welding speed (cm/min),24.6667,10.2045,2.7331
360,Welding speed,5,Welding speed (cm/min),25.0,10.2085,2.6931
361,Welding speed,5,Welding speed (cm/min),25.3333,10.2052,2.6678
362,Welding speed,5,Welding speed (cm/min),25.6667,10.1586,2.6572
363,Welding speed,5,Welding speed (cm/min),26.0,10.1675,2.6366
364,Welding speed,5,Welding speed (cm/min),26.3333,10.1581,2.6162
365,Welding speed,5,Welding speed (cm/min),26.6667,10.1595,2.597
366,Welding speed,5,Welding speed (cm/min),27.0,10.116,2.5677
367,Welding speed,5,Welding speed (cm/min),27.3333,10.1227,2.551
368,Welding speed,5,Welding speed (cm/min),27.6667,10.0958,2.5367
369,Welding speed,5,Welding speed (cm/min),28.0,10.0908,2.5209
370,Welding speed,5,Welding speed (cm/min),28.3333,10.0855,2.4978
371,Welding speed,5,Welding speed (cm/min),28.6667,10.0596,2.4704
372,Welding speed,5,Welding speed (cm/min),29.0,10.0408,2.4617
373,Welding speed,5,Welding speed (cm/min),29.3333,10.0303,2.4311
374,Welding speed,5,Welding speed (cm/min),29.6667,10.0457,2.4255
375,Welding speed,5,Welding speed (cm/min),30.0,10.0264,2.3979
376,Welding speed,6,Welding speed (cm/min),22.0,10.3531,2.843
377,Welding speed,6,Welding speed (cm/min),22.3333,10.3335,2.827
378,Welding speed,6,Welding speed (cm/min),22.6667,10.3386,2.8244
379,Welding speed,6,Welding speed (cm/min),23.0,10.3081,2.7878
380,Welding speed,6,Welding speed (cm/min),23.3333,10.3098,2.7722
381,Welding speed,6,Welding speed (cm/min),23.6667,10.2961,2.7571
382,Welding speed,6,Welding speed (cm/min),24.0,10.2783,2.7229
383,Welding speed,6,Welding speed (cm/min),24.3333,10.2775,2.7123
384,Welding speed,6,Welding speed (cm/min),24.6667,10.269,2.7055
385,Welding speed,6,Welding speed (cm/min),25.0,10.232,2.6603
386,Welding speed,6,Welding speed (cm/min),25.3333,10.2307,2.6506
387,Welding speed,6,Welding speed (cm/min),25.6667,10.2239,2.6279
388,Welding speed,6,Welding speed (cm/min),26.0,10.1995,2.6253
389,Welding speed,6,Welding speed (cm/min),26.3333,10.1899,2.5912
390,Welding speed,6,Welding speed (cm/min),26.6667,10.1859,2.5808
391,Welding speed,6,Welding speed (cm/min),27.0,10.1568,2.5618
392,Welding speed,6,Welding speed (cm/min),27.3333,10.1726,2.5356
393,Welding speed,6,Welding speed (cm/min),27.6667,10.1326,2.5354
394,Welding speed,6,Welding speed (cm/min),28.0,10.1224,2.4962
395,Welding speed,6,Welding speed (cm/min),28.3333,10.1164,2.4646
396,Welding speed,6,Welding speed (cm/min),28.6667,10.1061,2.4633
397,Welding speed,6,Welding speed (cm/min),29.0,10.0873,2.4295
398,Welding speed,6,Welding speed (cm/min),29.3333,10.0776,2.4095
399,Welding speed,6,Welding speed (cm/min),29.6667,10.0615,2.3902
400,Welding speed,6,Welding speed (cm/min),30.0,10.0394,2.3782
401,Welding speed,7,Welding speed (cm/min),22.0,10.392,2.7962
402,Welding speed,7,Welding speed (cm/min),22.3333,10.3691,2.814
403,Welding speed,7,Welding speed (cm/min),22.6667,10.3903,2.7844
404,Welding speed,7,Welding speed (cm/min),23.0,10.3768,2.7578
405,Welding speed,7,Welding speed (cm/min),23.3333,10.3456,2.7514
406,Welding speed,7,Welding speed (cm/min),23.6667,10.3423,2.7405
407,Welding speed,7,Welding speed (cm/min),24.0,10.3152,2.7094
408,Welding speed,7,Welding speed (cm/min),24.3333,10.3124,2.673
409,Welding speed,7,Welding speed (cm/min),24.6667,10.2946,2.6771
410,Welding speed,7,Welding speed (cm/min),25.0,10.2722,2.6509
411,Welding speed,7,Welding speed (cm/min),25.3333,10.2656,2.6281
412,Welding speed,7,Welding speed (cm/min),25.6667,10.2652,2.6116
413,Welding speed,7,Welding speed (cm/min),26.0,10.25,2.5774
414,Welding speed,7,Welding speed (cm/min),26.3333,10.2424,2.5873
415,Welding speed,7,Welding speed (cm/min),26.6667,10.2187,2.5574
416,Welding speed,7,Welding speed (cm/min),27.0,10.2282,2.5444
417,Welding speed,7,Welding speed (cm/min),27.3333,10.2089,2.5225
418,Welding speed,7,Welding speed (cm/min),27.6667,10.1835,2.4991
419,Welding speed,7,Welding speed (cm/min),28.0,10.1937,2.4888
420,Welding speed,7,Welding speed (cm/min),28.3333,10.1599,2.4563
421,Welding speed,7,Welding speed (cm/min),28.6667,10.1567,2.4299
422,Welding speed,7,Welding speed (cm/min),29.0,10.1298,2.4205
423,Welding speed,7,Welding speed (cm/min),29.3333,10.1331,2.4037
424,Welding speed,7,Welding speed (cm/min),29.6667,10.1017,2.3777
425,Welding speed,7,Welding speed (cm/min),30.0,10.0864,2.3587
426,Welding speed,8,Welding speed (cm/min),22.0,10.43,2.8007
427,Welding speed,8,Welding speed (cm/min),22.3333,10.4309,2.7707
428,Welding speed,8,Welding speed (cm/min),22.6667,10.4277,2.7644
