序号,焊接电流 (A),焊接速度(cm/min),摆动频率 (Hz),摆动幅度 (mm),宽度 (mm),高度 (mm),变化因素
43,80.0,27.667,3.0,2.5,10.001,2.495,焊接速度
44,80.0,28.0,3.0,2.5,9.971,2.493,焊接速度
45,80.0,28.333,3.0,2.5,9.97,2.49,焊接速度
46,80.0,28.667,3.0,2.5,9.943,2.477,焊接速度
47,80.0,29.0,3.0,2.5,9.925,2.492,焊接速度
48,80.0,29.333,3.0,2.5,9.891,2.475,焊接速度
49,80.0,29.667,3.0,2.5,9.872,2.47,焊接速度
50,80.0,30.0,3.0,2.5,9.85,2.47,焊接速度
51,80.0,26.0,2.0,2.5,9.99,2.73,摆动频率
52,80.0,26.0,2.083,2.5,9.99,2.704,摆动频率
53,80.0,26.0,2.167,2.5,9.997,2.69,摆动频率
54,80.0,26.0,2.25,2.5,10.006,2.674,摆动频率
55,80.0,26.0,2.333,2.5,10.009,2.665,摆动频率
56,80.0,26.0,2.417,2.5,10.013,2.644,摆动频率
57,80.0,26.0,2.5,2.5,10.011,2.637,摆动频率
58,80.0,26.0,2.583,2.5,10.026,2.611,摆动频率
59,80.0,26.0,2.667,2.5,10.028,2.602,摆动频率
60,80.0,26.0,2.75,2.5,10.032,2.577,摆动频率
61,80.0,26.0,2.833,2.5,10.043,2.56,摆动频率
62,80.0,26.0,2.917,2.5,10.048,2.551,摆动频率
63,80.0,26.0,3.0,2.5,10.06,2.53,摆动频率
64,80.0,26.0,3.083,2.5,10.067,2.508,摆动频率
65,80.0,26.0,3.167,2.5,10.072,2.499,摆动频率
66,80.0,26.0,3.25,2.5,10.083,2.503,摆动频率
67,80.0,26.0,3.333,2.5,10.093,2.473,摆动频率
68,80.0,26.0,3.417,2.5,10.113,2.464,摆动频率
69,80.0,26.0,3.5,2.5,10.113,2.436,摆动频率
70,80.0,26.0,3.583,2.5,10.132,2.436,摆动频率
71,80.0,26.0,3.667,2.5,10.136,2.416,摆动频率
72,80.0,26.0,3.75,2.5,10.145,2.411,摆动频率
73,80.0,26.0,3.833,2.5,10.16,2.387,摆动频率
74,80.0,26.0,3.917,2.5,10.169,2.378,摆动频率
75,80.0,26.0,4.0,2.5,10.19,2.37,摆动频率
76,80.0,26.0,3.0,1.0,6.18,3.55,摆动幅度
77,80.0,26.0,3.0,1.125,6.471,3.446,摆动幅度
78,80.0,26.0,3.0,1.25,6.778,3.337,摆动幅度
79,80.0,26.0,3.0,1.375,7.042,3.197,摆动幅度
80,80.0,26.0,3.0,1.5,7.384,3.132,摆动幅度
81,80.0,26.0,3.0,1.625,7.676,3.051,摆动幅度
82,80.0,26.0,3.0,1.75,8.01,2.969,摆动幅度
83,80.0,26.0,3.0,1.875,8.331,2.867,摆动幅度
84,80.0,26.0,3.0,2.0,8.689,2.793,摆动幅度
85,80.0,26.0,3.0,2.125,9.016,2.691,摆动幅度
86,80.0,26.0,3.0,2.25,9.351,2.64,摆动幅度
87,80.0,26.0,3.0,2.375,9.686,2.585,摆动幅度
88,80.0,26.0,3.0,2.5,10.06,2.53,摆动幅度
89,80.0,26.0,3.0,2.625,10.253,2.477,摆动幅度
90,80.0,26.0,3.0,2.75,10.447,2.421,摆动幅度
91,80.0,26.0,3.0,2.875,10.671,2.381,摆动幅度
92,80.0,26.0,3.0,3.0,10.88,2.33,摆动幅度
93,80.0,26.0,3.0,3.125,11.146,2.292,摆动幅度
94,80.0,26.0,3.0,3.25,11.346,2.24,摆动幅度
95,80.0,26.0,3.0,3.375,11.611,2.227,摆动幅度
96,80.0,26.0,3.0,3.5,11.879,2.21,摆动幅度
97,80.0,26.0,3.0,3.625,12.074,2.177,摆动幅度
98,80.0,26.0,3.0,3.75,12.385,2.18,摆动幅度
99,80.0,26.0,3.0,3.875,12.637,2.125,摆动幅度
100,80.0,26.0,3.0,4.0,12.9,2.12,摆动幅度
